id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,is_estimated
36,Trứng cút,,trứng,157,12.78,2.89,10.47,0,0.41,141,132,226,0.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Egg, quail, raw [Japan]. Trứng cút nguyên quả. Đo trên mẫu Nhật Bản.",,,,trứng,NIN,NIN Bảng TPTP VN (mã 9007),FALSE
37,Cá lóc,cá quả|cá chuối,thủy sản,,,,,,,,,,,,,,,cá,,,FALSE
38,Cá rô phi,,thủy sản,96.0,20.1,0.0,1.7,0.0,0.0,52.0,302,170,,,,,,cá,USDA,USDA FDC fdcId:175176,FALSE
39,Cá chép,,thủy sản,96,16,0,3.6,0,,49,397,184,103.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Carp, raw [Japan]. Cá chép. Đo trên mẫu Nhật Bản.",,,,cá,NIN,NIN Bảng TPTP VN (mã 8003),FALSE
40,Cá basa,cá tra,thủy sản,119,15.2,0,5.94,0,,98,302,204,205.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Catfish, farmed, raw [USA]. Cá basa (Pangasius) — PROXY cùng bộ cá da trơn (Siluriformes) nhưng khác loài (catfish Mỹ = Ictalurus punctatus). Cần R2 xác nhận độ phù hợp.",,,,cá,NIN,NIN Bảng TPTP VN (mã 8092),FALSE
41,Cá thu,,thủy sản,166,18.2,0,10.3,0,,110,486,90,194,"USDA/ODS-NIH Purine DB R2.0 (2025) — Mackerel, raw (unspecified) [USA]",,,,cá,NIN,NIN Bảng TPTP VN (mã 8026),FALSE
42,Cá ngừ,,thủy sản,87,21,0,0.3,0,,78,518,206,157.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Tuna, raw (unspecified) [Japan]",,,,cá,NIN,NIN Bảng TPTP VN (mã 8019),FALSE
43,Cá nục,,thủy sản,111,20.2,0,3.3,0,,104,383,160,,,,,,cá,NIN,NIN Bảng TPTP VN (mã 8020),FALSE
44,Cá trích,,thủy sản,166,17.7,0,10.6,0,,160,423,174,139.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Herring, raw [Japan]",,,,cá,NIN,NIN Bảng TPTP VN (mã 8031),FALSE
45,Cá hồi,,thủy sản,136,22,0,5.3,0,,46,423,230,250,"USDA/ODS-NIH Purine DB R2.0 (2025) — Salmon, mixed species, raw [USA]",,,,cá,NIN,NIN Bảng TPTP VN (mã 8011),FALSE
46,Cá bống,,thủy sản,,,,,,,,,,,,,,,cá,,,FALSE
47,Tôm biển,,thủy sản,82,17.6,0.9,0.9,0,,148,185,184,166.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Shrimp, raw (unspecified) [Japan]",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8051),FALSE
48,Tôm sú,,thủy sản,90,17.2,1.15,1.28,0.0,,248,143,308,166.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Shrimp, raw (unspecified) [Japan]",,,,hải sản,USDA,"USDA FDC (FNDDS/WWEIA Survey Foods) fdcId:2706363, foodCode 26319130, ""Shrimp, steamed or boiled"" — tôm chung, không phân biệt loài tôm sú cụ thể",FALSE
49,Cua đồng,,thủy sản,87,12.3,2,3.3,0,,1484,27,171,136.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Crab, snow, raw [Japan]",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8034),FALSE
50,Ghẹ,,thủy sản,54,11.9,0,0.7,0,,293,329,229,136.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Crab, snow, raw [Japan]",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8035),FALSE
51,Mực tươi,,thủy sản,73,16.3,0,0.9,0,,44,273,150,135,"USDA/ODS-NIH Purine DB R2.0 (2025) — Squid, raw (unspecified) [USA]",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8040),FALSE
52,Ngao,nghêu,thủy sản,86.0,14.7,3.57,0.96,0.0,0.0,601,46.0,198,136,"USDA/ODS-NIH Purine DB R2.0 (2025) — Clams, raw [USA]",,,,hải sản,USDA,USDA FDC fdcId:174214,FALSE
53,Hến,,thủy sản,45,4.5,5.1,0.7,0,,86,54,86,145.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Clams, raw [Japan]. Hến — PROXY nhóm ngao/hến nói chung (dải 110.2 Trung Quốc - 145.4 Nhật - 136.0 Bắc Mỹ), không phải đúng loài hến VN.",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8037),FALSE
54,Cá khô,,thủy sản,,,,,,,,,,,,,,,cá,,,FALSE
55,Đậu phụ,đậu hũ|tàu hũ,đậu,97,10.9,1.1,5.4,0.4,,7,121,85,31.1,"USDA/ODS-NIH Purine DB R2.0 (2025) — Tofu, raw (nigari) [Japan]",,,,đậu nành,NIN,NIN Bảng TPTP VN (mã 3025),FALSE
56,Đậu phụ chiên,,đậu,270,18.82,8.86,20.18,3.9,,16,146,287,,,,,,đậu nành,USDA,"Khớp chéo ngôn ngữ (không phải khớp trực tiếp) — USDA FoodData Central 'Tofu, fried' (fdcId:172451), lý do khớp: đậu phụ chiên = fried tofu, khớp trực tiếp. CẦN R2 xác nhận độ phù hợp trước khi dùng cho bệnh nhân.",TRUE
57,Sữa đậu nành,,đậu,29,3.1,0.5,1.6,0.1,,55,124,36,21.91,USDA/ODS-NIH Purine DB R2.0 (2025) — Soy milk [Japan]. Sữa đậu nành. Đo trên mẫu Nhật Bản.,,,,đậu nành,NIN,NIN Bảng TPTP VN (mã 3032),FALSE
58,Đậu xanh,,đậu,346,23.4,57.8,2.4,4.7,,6,1132,377,,,42,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1302) — Mung bean, pressure cooked, Australia 1998, GI 42±5; glucose=100",,NIN,NIN Bảng TPTP VN (mã 3010),FALSE
59,Đậu đen,,đậu,341,21.6,62.4,1.42,15.5,2.12,5.0,1480.0,352,,,,,,,USDA,USDA FDC fdcId:173734,FALSE
60,Đậu đỏ,,đậu,329,19.9,62.9,0.53,12.7,,5.0,1250.0,381,,,,,,,USDA,USDA FDC fdcId:173727,FALSE
61,Đậu tương hạt,đậu nành hạt,đậu,418,34,29.1,18.4,4.5,,2,1504,690,172.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Soybeans, dried, raw [Japan]",,,,đậu nành,NIN,NIN Bảng TPTP VN (mã 3007),FALSE
62,Giá đỗ,giá,đậu,82,7.7,8.7,1.8,0.7,,14,484,58,57.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Bean sprouts, with bean, raw [Japan]. Giá đỗ (kèm hạt đậu). Đo trên mẫu Nhật Bản — bản 'không hạt' thấp hơn (35.0).",25,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1301) — Mung bean, germinated, Australia 1998, GI 25±4; glucose=100",,NIN,NIN Bảng TPTP VN (mã 4035),FALSE
63,Chao,,đậu,,,,,,,,,,,,,,,đậu nành,,,FALSE
64,Tương hột,,đậu,,,,,,,,,,,,,,,đậu nành,,,FALSE
65,Rau muống,,rau lá,28,3.2,3.26,0.24,1,,37.4,330.5,37,,,,,,,NIN,NIN Bảng TPTP VN (mã 4083),FALSE
66,Rau ngót,bồ ngót,rau lá,,,,,,,,,,,,,,,,,,FALSE
67,Rau dền,,rau lá,23.0,2.46,4.02,0.33,0,,20.0,611,50.0,,,,,,,USDA,USDA FDC fdcId:168385,FALSE
68,Rau cải ngọt,,rau lá,17,1.4,2.62,0.1,3.2,,20,384,177,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04108, tr.56; chất xơ/Na/K bổ sung từ USDA FDC fdcId:169256 (Mustard greens, raw)",FALSE
69,Cải xanh,cải bẹ xanh,rau lá,23,1.7,3.76,0.14,1.8,1.6,28.6,220.8,13.5,,,,,,,NIN,NIN Bảng TPTP VN (mã 4016),FALSE
70,Cải thảo,,rau lá,14,0.9,2.57,0.0,1.2,,13,235,183,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04109, tr.56; Na/K/chất xơ bổ sung từ USDA FDC fdcId:2727583 (Cabbage, napa, raw)",FALSE
71,Cải bắp,bắp cải,rau lá,41,1.96,7.61,0.33,1.74,3.89,30.76,205.98,33.7,3.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Cabbage, raw [Japan]. Cải bắp/bắp cải thường. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4010002),FALSE
72,Cải cúc,tần ô,rau lá,22,1.6,3.9,0.6,2.0,,33,219,38,47.1,USDA/ODS-NIH Purine DB R2.0 (2025) — Garland chrysanthemum [Japan]. Cải cúc/tần ô — khớp tên trực tiếp. Đo trên mẫu Nhật Bản.,,,,,NIN,"Bảng TPTP VN 2017, mã 04013, tr.44; chất béo bổ sung từ USDA FDC fdcId:168491 (Chrysanthemum leaves, raw)",FALSE
73,Rau mồng tơi,,rau lá,,,,,,,,,,,,,,,,,,FALSE
74,Rau đay,,rau lá,31,2.8,4.52,0.18,1.5,,16.12,417,57.3,,,,,,,NIN,NIN Bảng TPTP VN (mã 4070),FALSE
75,Rau lang,đọt lang,rau lá,28,2.6,3.99,0.21,1.4,,19.01,498.02,54,,,,,,,NIN,NIN Bảng TPTP VN (mã 4076),FALSE
76,Xà lách,,rau lá,15.0,1.36,2.87,0.15,1.3,0.78,28.0,194,29.0,,,,,,,USDA,USDA FDC fdcId:169249,FALSE
77,Rau má,,rau lá,,,,,,,,,,,,,,,,,,FALSE
78,Rau mùi,ngò rí|ngò,rau lá,22,2.6,2.17,0.33,1.8,0.87,46,521,80,39.4,USDA/ODS-NIH Purine DB R2.0 (2025) — Coriander [Japan]. Rau mùi/ngò rí. Đo trên mẫu Nhật Bản.,,,,,NIN,NIN Bảng TPTP VN (mã 4081),FALSE
79,Hành lá,hành hoa,rau lá,32,1.83,7.34,0.19,2.6,,16,276,37,,,,,,,USDA,"Khớp chéo ngôn ngữ (không phải khớp trực tiếp) — USDA FoodData Central 'Onions, spring or scallions (includes tops and bulb), raw' (fdcId:170005), lý do khớp: hành lá = spring onion/scallion, khớp trực tiếp. CẦN R2 xác nhận độ phù hợp trước khi dùng cho bệnh nhân.",TRUE
80,Tía tô,,rau lá,,,,,,,,,,,,,,,,,,FALSE
81,Kinh giới,,rau lá,,,,,,,,,,,,,,,,,,FALSE
82,Thì là,thìa là,rau lá,47,2.6,6.94,0.96,5,,48,360.6,12.2,,,,,,,NIN,NIN Bảng TPTP VN (mã 4101),FALSE
83,Rau răm,,rau lá,,,,,,,,,,,,,,,,,,FALSE
84,Súp lơ xanh,bông cải xanh,rau lá,39,2.95,6.08,0.3,3.2,3.03,23,300,62,70.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Broccoli, raw [Japan]. Súp lơ xanh/bông cải xanh, dạng sống. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4100),FALSE
85,Cà chua,,rau củ,18.0,0.88,3.89,0.2,1.2,2.63,5.0,237,24.0,,,22,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1630 — whole tomatoes GI 22; glucose=100",,USDA,USDA FDC fdcId:170457,FALSE
86,Cà rốt,,rau củ,47,1.6,9.79,0.21,1.28,4.83,55.32,282.45,41.49,2.1,"USDA/ODS-NIH Purine DB R2.0 (2025) — Carrots, raw [Japan]. Cà rốt. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4007002),FALSE
87,Củ cải trắng,,rau củ,27,1.5,5.11,0.09,1.5,2.5,10,242,41,1.7,"USDA/ODS-NIH Purine DB R2.0 (2025) — Radish root, Japanese [Japan]. Củ cải trắng — daikon, khớp loại trực tiếp. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4021),FALSE
88,Su hào,,rau củ,27.0,1.7,6.2,0.1,3.6,2.6,20.0,350,46.0,,,,,,,USDA,USDA FDC fdcId:168424,FALSE
89,Su su,,rau củ,19.0,0.82,4.51,0.13,1.7,1.66,2.0,125,18.0,,,,,,,USDA,USDA FDC fdcId:170402,FALSE
90,Bí đao,bí xanh,rau củ,,,,,,,,,,,,,,,,,,FALSE
91,Bí đỏ,bí ngô,rau củ,35,0.34,7.75,0.34,0.79,,9.44,391.57,17.98,56.7,"USDA/ODS-NIH Purine DB R2.0 (2025) — Pumpkin, raw [Japan]. Bí đỏ/bí ngô. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4003002),FALSE
92,Bầu,,rau củ,18,0.6,3.88,0.02,1.0,,2,150,25,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04001, tr.44",FALSE
93,Mướp,,rau củ,18,0.9,3.36,0.14,0.5,,3,139,45,,,,,,,NIN,NIN Bảng TPTP VN (mã 4054),FALSE
94,Mướp đắng,khổ qua,rau củ,17.0,1.0,3.7,0.17,2.8,,5.0,296,31.0,,,,,,,USDA,USDA FDC fdcId:168393,FALSE
95,Dưa chuột,dưa leo,rau củ,19,0.3,4.16,0.14,0.7,1.06,154.38,2.94,16,9.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Cucumber, raw [Japan]. Dưa chuột/dưa leo. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 11002),FALSE
96,Đậu cove,đậu que,rau củ,77,5.0,14.3,0.3,1.0,,96,254,122,7.5,USDA/ODS-NIH Purine DB R2.0 (2025) — Green beans [Japan]. Đậu cove/đậu que. Đo trên mẫu Nhật Bản.,,,,,NIN,"Bảng TPTP VN 2017, mã 04029, tr.46; chất béo bổ sung từ USDA FDC fdcId:2346400 (Beans, snap, green, raw)",FALSE
97,Đậu bắp,mướp tây,rau củ,33.0,1.93,7.45,0.19,3.2,1.48,7.0,299,61.0,,,,,,,USDA,USDA FDC fdcId:169260,FALSE
98,Cà tím,,rau củ,25.0,0.98,5.88,0.18,3.0,3.53,2.0,229,24.0,,,,,,,USDA,USDA FDC fdcId:169228,FALSE
99,Măng tươi,,rau củ,24,2.2,3.36,0.14,2.3,1.88,2,202,6.2,47.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Bamboo shoots, raw [Japan]",,,,,NIN,NIN Bảng TPTP VN (mã 4052),FALSE
100,Nấm rơm,,rau củ,32.0,3.83,4.64,0.68,2.5,,384,78.0,61.0,46.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Mushrooms (not further specified), raw [Canada]",,,,,USDA,USDA FDC fdcId:168582,FALSE
101,Nấm hương,nấm đông cô,rau củ,51,5.5,6.1,0.5,3.0,,9,304,89,23.1,"USDA/ODS-NIH Purine DB R2.0 (2025) — Mushrooms, shiitake, raw [Japan]",,,,,NIN,"Bảng TPTP VN 2017, mã 04127, tr.60 (tên: Nấm hương tươi); Na/K bổ sung từ USDA FDC fdcId:169242 (Shiitake, raw)",FALSE
102,Hành tây,,rau củ,45,1.8,9.29,0.11,1.1,4.28,7.5,220.7,58,2.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Onions, raw [Japan]. Hành tây. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4039),FALSE
103,Chuối tiêu,chuối già,trái cây,100,1.5,23,0.2,0.8,,19.3,329.4,28,3.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Bananas, raw [Japan]. Chuối tiêu/chuối già. Đo trên mẫu Nhật Bản.",47,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1088) — Banana, raw, Australia 2008, GI 47±5; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5007),FALSE
104,Cam sành,,trái cây,47.0,0.94,11.8,0.12,2.4,9.35,0.0,181,14.0,,,45,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 — Oranges, navel, Australia 2020, GI 45±5; glucose=100",,USDA,USDA FDC fdcId:169097,FALSE
105,Quýt,,trái cây,53.0,0.81,13.3,0.31,1.8,10.6,2.0,166,20.0,,,52,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1140) — Mandarin orange (Citrus reticulata), Italy 2004, GI 52±8; glucose=100",,USDA,USDA FDC fdcId:169105,FALSE
106,Bưởi,,trái cây,38.0,0.76,9.62,0.04,1.0,,1.0,216,17.0,,,,,,,USDA,USDA FDC fdcId:167754,FALSE
107,Táo,bom,trái cây,46,3.8,4.7,1.2,0.2,,33,85,150,,,44,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 — Apples, raw, Australia 2020, GI 44±5; glucose=100",,NIN,NIN Bảng TPTP VN (mã 3033),FALSE
108,Lê,,trái cây,48,0.7,10.8,0.2,0.6,9.8,5,88.4,16,,,33,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1161) — Pear, Williams, raw, ripe/soft, Australia 2015, GI 33±4; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5023),FALSE
109,Xoài chín,,trái cây,69,0.6,15.9,0.3,0,14.8,2.1,114.1,13,,,48,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1142) — Mango, raw (Chin-Hwang), Taiwan 2010, GI 48; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5055),FALSE
110,Đu đủ chín,,trái cây,38,1,8.19,0.11,0.6,5.9,4.3,220.5,32,,,38,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1153) — Papaya/paw paw, raw, Singapore 2017, GI 38±2; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5017),FALSE
