id,drug_name,drug_class,food_or_nutrient,severity,mechanism_vi,recommendation_vi,source_ref,verify_status
11,Metformin,biguanide,rượu bia,high,Tăng nguy cơ nhiễm toan lactic và hạ đường huyết,"Tránh rượu bia, đặc biệt khi bụng đói","Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Metformin, mục Tương tác thuốc: ""Tránh uống rượu (tỷ lệ nhiễm acid lactic có thể tăng; có thể gây hạ đường huyết)"" (trungtamthuoc.com/hoat-chat/metformin)",to_verify
12,Metformin,biguanide,vitamin B12,moderate,Dùng dài ngày làm giảm hấp thu vitamin B12,"Tăng thực phẩm giàu B12 (thịt, cá, trứng), kiểm tra B12 định kỳ","Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Metformin: ""Khi dùng dài ngày có thể có nguy cơ giảm hấp thu vitamin B12"" (trungtamthuoc.com/hoat-chat/metformin)",to_verify
13,Levothyroxine,hormone tuyến giáp,canxi (sữa và chế phẩm),moderate,Canxi tạo phức làm giảm hấp thu thuốc,"Uống thuốc lúc đói, cách sữa/canxi ít nhất 4 giờ","MedlinePlus Drug Information (NIH), Levothyroxine: ""if you take calcium carbonate... take it at least 4 hours before or 4 hours after you take levothyroxine"" (medlineplus.gov/druginfo/meds/a682461.html)",to_verify
14,Levothyroxine,hormone tuyến giáp,đậu nành,moderate,Isoflavone làm giảm hấp thu,Cách xa thời điểm uống thuốc ít nhất 4 giờ,"Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Levothyroxine: ""Một số thức ăn có thể làm giảm hấp thu levothyroxin như sữa đậu nành công thức, bột đậu nành..."" (trungtamthuoc.com/hoat-chat/levothyroxine)",to_verify
15,Levothyroxine,hormone tuyến giáp,cà phê,moderate,Giảm hấp thu thuốc,"Uống thuốc trước ăn sáng 30-60 phút, không uống cùng cà phê","Benvenga S, Bartolone L, Squadrito S, et al. Thyroid. 2008;18(3):293-301 — cà phê espresso làm giảm hấp thu levothyroxine trung bình 36% khi uống cùng lúc",to_verify
16,Allopurinol,ức chế xanthine oxidase,rượu bia,high,"Rượu làm tăng acid uric, đối kháng tác dụng thuốc",Kiêng rượu bia,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Allopurinol",to_verify
17,Colchicine,điều trị gout cấp,bưởi,moderate,Ức chế CYP3A4 làm tăng độc tính colchicine,Tránh bưởi,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Colchicine",to_verify
18,Hydrochlorothiazide,lợi tiểu thiazide,kali,moderate,Thuốc làm mất kali qua nước tiểu,"Có thể cần tăng thực phẩm giàu kali - theo chỉ định bác sĩ, không tự bổ sung","Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Hydrochlorothiazide",to_verify
19,Furosemide,lợi tiểu quai,kali,moderate,Mất kali và magie qua nước tiểu,"Theo dõi điện giải, bổ sung theo chỉ định","Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Furosemide: ""mất cân bằng nước và điện giải bao gồm giảm kali huyết... Kiểm tra thường xuyên điện giải đồ"" (trungtamthuoc.com/hoat-chat/furosemide)",to_verify
20,Spironolactone,lợi tiểu giữ kali,thực phẩm giàu kali,high,"Thuốc giữ kali, cộng dồn gây tăng kali máu","Hạn chế chuối, nước dừa, muối thay thế","Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Spironolactone: ""Tránh dùng các chế phẩm chứa nhiều kali (như muối thay thế, thực phẩm ít muối, chuối, các loại hạt)"" (trungtamthuoc.com/hoat-chat/spironolactone)",to_verify
21,Digoxin,glycoside tim,chất xơ liều cao,moderate,Chất xơ làm giảm hấp thu digoxin,Uống thuốc cách bữa nhiều chất xơ ít nhất 2 giờ,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Digoxin",to_verify
22,Digoxin,glycoside tim,cam thảo,high,"Cam thảo gây hạ kali máu, làm tăng độc tính digoxin",Tránh cam thảo và trà thảo mộc chứa cam thảo,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Digoxin",to_verify
23,Amlodipine,chẹn kênh canxi,bưởi,moderate,"Ức chế CYP3A4 làm tăng nồng độ thuốc, tăng nguy cơ tụt huyết áp",Hạn chế bưởi,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Amlodipine",to_verify
24,Ciprofloxacin,kháng sinh quinolone,canxi (sữa),moderate,Tạo phức chelate làm giảm hấp thu kháng sinh,Uống cách sữa và chế phẩm sữa ít nhất 2 giờ,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Ciprofloxacin",to_verify
25,Tetracycline,kháng sinh tetracycline,canxi (sữa),moderate,Tạo phức chelate,Uống cách sữa ít nhất 2 giờ,"Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Tetracycline: ""Hấp thu các tetracyclin giảm đáng kể (đến 70-80%) nếu dùng cùng sữa và sản phẩm từ sữa"" (trungtamthuoc.com/hoat-chat/tetracycline)",to_verify
26,Phenelzine,ức chế MAO (MAOI),tyramine (phô mai lâu năm; đồ lên men),high,Tyramine không bị chuyển hoá gây cơn tăng huyết áp kịch phát,"Kiêng phô mai lâu năm, mắm, tương lên men, bia thùng","StatPearls [NCBI Bookshelf, NIH], Phenelzine (NBK554508): ""Hypertensive crisis can occur... aged cheeses, pickled fish, beer and wine, liver, yeast extract, dry sausages..."" (ncbi.nlm.nih.gov/books/NBK554508/)",to_verify
27,Insulin,insulin,rượu bia,high,"Rượu ức chế tân tạo glucose ở gan, gây hạ đường huyết muộn","Tránh rượu, đặc biệt khi bụng đói","Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Insulin",to_verify
28,Sulfonylurea (Gliclazide),sulfonylurea,rượu bia,high,Tăng nguy cơ hạ đường huyết,Tránh rượu bia,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Sulfonylurea (Gliclazide)",to_verify
29,Sắt (viên bổ sung),khoáng chất bổ sung,trà và cà phê,moderate,Tannin và polyphenol ức chế hấp thu sắt,Uống cách trà/cà phê ít nhất 1 giờ; uống cùng vitamin C để tăng hấp thu,"NIH Office of Dietary Supplements, Iron — Health Professional Fact Sheet: tannin/polyphenol trong trà/cà phê ức chế hấp thu sắt non-heme; vitamin C tăng hấp thu (ods.od.nih.gov/factsheets/Iron-HealthProfessional/)",to_verify
30,Canxi (viên bổ sung),khoáng chất bổ sung,rau chân vịt (oxalat cao),low,Oxalat làm giảm hấp thu canxi,Không uống cùng bữa nhiều oxalat,"NIH Office of Dietary Supplements, Calcium — Health Professional Fact Sheet: oxalic acid trong rau chân vịt tạo muối không tan với canxi, hấp thu canxi từ rau bina chỉ ~5% so với ~27% từ sữa (ods.od.nih.gov/factsheets/Calcium-HealthProfessional/)",to_verify
