id,name_vi,reason,detail
1105950,Cà rốt khô,khong khop du nguong,"en='Carrot, dried' gan nhat='Currants, dried' score=0.49"
1105951,Cải bắp khô,khong khop du nguong,"en='Dried cabbage' gan nhat='Cabbage, kimchi' score=0.44"
1105954,Cần ta,khong khop du nguong,"en='Water drop-wort, raw' gan nhat='Water convolvulus,raw' score=0.35"
1105955,Củ cải đỏ,khong khop du nguong,"en='Red radish oriental, raw' gan nhat='Radishes, oriental, raw' score=0.41"
1105956,Củ đậu,khong khop du nguong,"en='Jicama, Mexican yam bean' gan nhat='Jicama, raw' score=0.30"
1105957,Củ niễng,khong khop du nguong,"en='Manchurian wild rice, stem, raw' gan nhat='Wild rice, raw' score=0.52"
1105958,Dọc củ cải (non),khong khop du nguong,"en='Radish garden, immature, raw' gan nhat='Cress, garden, raw' score=0.36"
1105959,Dọc mùng,khong khop du nguong,"en='Indian taro, stem, raw' gan nhat='Taro, raw' score=0.38"
1105960,Dưa gang,khong khop du nguong,"en='Large cucumber' gan nhat='Cucumber, raw' score=0.52"
1105961,Đậu rồng (quả non),khong khop du nguong,"en='Winged bean, asparagus pea, raw' gan nhat='Winged bean leaves, raw' score=0.50"
1105962,Gấc,khong khop du nguong,"en='Gac fruit, whole, raw' gan nhat='Yogurt, whole milk, fruit' score=0.53"
1105965,Hành lá (hành hoa),khong khop du nguong,"en='Onion, leave' gan nhat='Onion flavored rings' score=0.43"
1105966,Hoa chuối,khong khop du nguong,"en='Banana, buds and flowers, raw' gan nhat='Banana, raw' score=0.37"
1105967,Hoa lý,khong khop du nguong,"en='Daylily, lemon flowers, raw' gan nhat='Lemon, raw' score=0.37"
1105968,Lá me,NIN khong co name_en,
1105969,Lá mơ lông,khong khop du nguong,"en='Skunk vine' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1105970,Lá sắn tươi,khong khop du nguong,"en='Cassava leaves, raw' gan nhat='Cassava, raw' score=0.55"
1105971,Măng khô,khong khop du nguong,"en='Bamboo shoot, dried' gan nhat='Apricot, dried' score=0.35"
1105972,Mướp Nhật bản,khong khop du nguong,"en='Sponge gourd, Japa- nese origin, raw' gan nhat='Gourd, dishcloth (towelgourd), raw' score=0.23"
1105973,Ngô bao tử,khong khop du nguong,"en='Baby corn, raw' gan nhat='Corn, raw' score=0.55"
1105974,Nụ mướp,khong khop du nguong,"en='Sponge gourd, young flower, raw' gan nhat='Sesbania flower, raw' score=0.29"
1105976,Quả dọc,khong khop du nguong,"en='Bira tai, raw' gan nhat='Mai Tai' score=0.44"
1105977,Quả me chua,khong khop du nguong,"en='Tamarind fruit, pulp, raw' gan nhat='Tamarind' score=0.37"
1105980,"Rau giấp cá, diếp cá",khong khop du nguong,"en='Lizard tail, fishwort, raw' gan nhat='Turkey, tail' score=0.30"
1105983,Rau giền trắng,khong khop du nguong,"en='Amaranth, sp White, raw' gan nhat='Amaranth leaves, raw' score=0.47"
1105985,Rau kinh giới,khong khop du nguong,"en='Vietnamese Balm, raw' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1105986,Rau má rừng,khong khop du nguong,"en='Wild centella, raw' gan nhat='Wild rice, raw' score=0.48"
1105987,"Rau má, má mơ",khong khop du nguong,"en='Centella, gotu kola, raw' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1105989,Rau muống khô,khong khop du nguong,"en='Water spinach, dried' gan nhat='Peach, dried' score=0.37"
1105990,Rau ngổ,khong khop du nguong,"en='Buffalo spinach, raw' gan nhat='Spinach, raw' score=0.55"
1105991,Rau ngót khô,khong khop du nguong,"en='Sauropus, dried' gan nhat='Shrimp, dried' score=0.47"
1105992,Rau rút,khong khop du nguong,"en='Water mimosa, raw' gan nhat='Water, NFS' score=0.51"
1105994,Rau sam,khong khop du nguong,"en='Purslane, pursley, raw' gan nhat='Purslane, raw' score=0.55"
1105995,Rau sắng (chùa hương),NIN khong co name_en,
1105996,Rau tàu bay,khong khop du nguong,"en='Redflower ragleaf, fireweed, raw' gan nhat='Fireweed, leaves, raw' score=0.33"
1105997,Rau thơm,khong khop du nguong,"en='Mint leaves, raw' gan nhat='Pumpkin leaves, raw' score=0.50"
1105998,Sấu xanh,khong khop du nguong,"en='Fruit of Dracontomelon duperreanum, immature, raw' gan nhat='Pigeonpeas, immature seeds, raw' score=0.27"
1105999,Su hào khô,khong khop du nguong,"en='Dried kohlrabi' gan nhat='Dried, fruit, NFS' score=0.44"
1106002,Tỏi tây (cả lá),khong khop du nguong,"en='Chinese Leek, Onion fragrant, raw' gan nhat='Chinese pancake' score=0.28"
1106003,Trám đen chín,khong khop du nguong,"en='Fruit of Canarium pimela, ripe' gan nhat='Fruit, NFS' score=0.27"
1106004,"Trám xanh sống, trám trắng",khong khop du nguong,"en='Canarium nut, pili nut, Java almond, raw' gan nhat='Oil, almond' score=0.22"
1106005,Xương sông,khong khop du nguong,"en='Edible leaves of Blumea lanceolaria, raw' gan nhat='Fireweed, leaves, raw' score=0.27"
1106006,Cải ngọt,khong khop du nguong,"en='Elongated mustard, raw' gan nhat='Mustard' score=0.50"
1106007,Ngọn su su,khong khop du nguong,"en='Chayote, young stem and leaves raw' gan nhat='Fireweed, young leaves, raw (Alaska Native)' score=0.41"
1106008,Đậu ván,khong khop du nguong,"en='Hyacinth bean, Australian pea, raw' gan nhat='Hyacinth beans, mature seeds, raw' score=0.30"
1106009,Cà chua muối,khong khop du nguong,"en='Tomato, pickled with salt' gan nhat='Tomato, green, pickled' score=0.59"
1106010,Cà muối nén,khong khop du nguong,"en='Eggplant, pickled with salt' gan nhat='Eggplant, pickled' score=0.69"
1106011,Cà muối sổi,khong khop du nguong,"en='Eggplant, pickled with salt' gan nhat='Eggplant, pickled' score=0.69"
1106012,Dưa cải bắp,khong khop du nguong,"en='Cabbage Chinese pickled with salt' gan nhat='Cabbage, red, pickled' score=0.49"
1106013,Dưa cải bẹ,khong khop du nguong,"en='Mustard green, pickled with salt' gan nhat='Tomato, green, pickled' score=0.49"
1106014,Dưa cải sen,khong khop du nguong,"en='Field mustard, pickled with salt' gan nhat='Fish, pickled' score=0.28"
1106015,Dưa giá (đậu xanh),khong khop du nguong,"en='Mung bean sprouts, pickled with salt' gan nhat='Mushrooms, pickled' score=0.25"
1106016,Hành củ muối,khong khop du nguong,"en='Onion, pickled with salt' gan nhat='Turnip, pickled' score=0.34"
1106017,Kiệu muối,khong khop du nguong,"en='Onion shallot, scallion, pickled with salt' gan nhat='Butter, light, stick, with salt' score=0.24"
1106018,"Nhút (dưa muối từ mít non, lá đậu xanh non...)",khong khop du nguong,"en='Mix pickled from young jack fruit, mung bean leaves and other' gan nhat='Pudding, flavors other than chocolate, made from dry mix, sugar free' score=0.24"
1106019,Men bia khô,khong khop du nguong,"en='Brewer’s yeast, fried enzyme' gan nhat='Restaurant, Latino, bunuelos (fried yeast bread)' score=0.38"
1106021,Nấm hương khô,khong khop du nguong,"en='Mushroom, shiitake, dried' gan nhat='Mushrooms, shiitake, dried' score=0.66"
1106022,Nấm hương tươi,khong khop du nguong,"en='Mushroom, shiitake, raw' gan nhat='Mushrooms, shiitake, raw' score=0.53"
1106025,Chuối khô,khong khop du nguong,"en='Banana dried' gan nhat='Papaya, dried' score=0.48"
1106026,Dâu gia,khong khop du nguong,"en='Fruit of Baccaurea sapida' gan nhat='Fruit, NFS' score=0.36"
1106027,Gioi,khong khop du nguong,"en='Ohia; Malaya roseapple' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106028,Hồng bì,khong khop du nguong,"en='Wampee, Chinese; Wampi' gan nhat='Cabbage, Chinese, raw' score=0.36"
1106031,Mắc coọc,khong khop du nguong,"en='Wild Himalayan pear' gan nhat='Pear, raw' score=0.33"
1106033,Mít khô,khong khop du nguong,"en='Dried jackfruit' gan nhat='Dried, fruit, NFS' score=0.48"
1106034,Mít mật,khong khop du nguong,"en='Jack fruit, honey' gan nhat='Fruit, NFS' score=0.38"
1106035,"Muỗm, quéo",khong khop du nguong,"en='Mango, common; Indi- an mango, unripe' gan nhat='Mango, canned' score=0.28"
1106036,Nhãn khô,khong khop du nguong,"en='Longan dried' gan nhat='Longans, dried' score=0.53"
1106037,Nho ta (nho chua),khong khop du nguong,"en='Grape fruit' gan nhat='Fruit, NFS' score=0.50"
1106038,Nhót,khong khop du nguong,"en='Silver berry' gan nhat='Pie, berry' score=0.49"
1106039,Quả bơ vỏ tím,khong khop du nguong,"en='Avocado, Alligator Pear' gan nhat='Avocado, raw' score=0.38"
1106040,Quả cóc,khong khop du nguong,"en='Hog plum, Tahitian apple, Otaheite apple' gan nhat='Taro, tahitian, cooked, with salt' score=0.24"
1106041,Quả thanh long,khong khop du nguong,en='Dragon’s eyes fruit' gan nhat='Dragon fruit' score=0.69
1106042,Quả trứng gà,khong khop du nguong,"en='Lúcuma' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106043,Quất chín (cả vỏ),khong khop du nguong,"en='Mandarin' gan nhat='Mandarin, seedless, peeled, raw' score=0.62"
1106044,Quít,khong khop du nguong,"en='Tangerine; Orange; Mandarin' gan nhat='Tangerine, raw' score=0.39"
1106045,Sấu chín,khong khop du nguong,"en='Sanpidus, ripe' gan nhat='Plantains, ripe, raw' score=0.45"
1106046,Vú sữa,khong khop du nguong,"en='Starapple, cainito' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106048,"Dầu thảo mộc (Lạc, vừng, cám...)",khong khop du nguong,"en='Vegetable oil, cooking' gan nhat='Vegetable oil, NFS' score=0.69"
1106049,Mỡ lợn muối,khong khop du nguong,en='Salted lard' gan nhat='Lard' score=0.51
1106061,Thịt bò loại II,khong khop du nguong,"en='Beef meat grade II' gan nhat='Babyfood, meat, beef, strained' score=0.52"
1106067,Thịt gà rừng,khong khop du nguong,"en='Grouse field chicken' gan nhat='Enchilada, chicken' score=0.36"
1106070,Thịt trâu bắp,khong khop du nguong,"en='Buffalo meat (shoulder)' gan nhat='Game meat, buffalo, water, raw' score=0.53"
1106071,Thịt trâu cổ,khong khop du nguong,"en='Buffalo meat neck' gan nhat='Game meat, buffalo, water, raw' score=0.53"
1106072,Thịt trâu đùi,khong khop du nguong,"en='Buffalo meat leg' gan nhat='Game meat, buffalo, water, raw' score=0.53"
1106073,Thịt trâu thăn,khong khop du nguong,"en='Buffalo meat lean (loin)' gan nhat='Game meat, elk, loin, separable lean only, cooked, broiled' score=0.51"
1106076,Đầu bò,khong khop du nguong,"en='Head of beef (without tongue, brain, ears)' gan nhat='Beef, cow head' score=0.36"
1106077,Đầu lợn,khong khop du nguong,"en='Hog, head' gan nhat='Hog maws' score=0.46"
1106078,Đuôi bò,khong khop du nguong,"en='Beef, tail' gan nhat='Beef, NFS' score=0.52"
1106081,Gân chân bò,khong khop du nguong,"en='Beef tendon-leg' gan nhat='Beef, NFS' score=0.37"
1106083,Lòng lợn (ruột già),khong khop du nguong,"en='Hog, intestine large raw' gan nhat='Hog maws' score=0.31"
1106084,Lòng lợn (ruột non),khong khop du nguong,"en='Hog intestine small raw without fat' gan nhat='Cottage cheese, full fat, large or small curd' score=0.36"
1106091,Tiết bò,khong khop du nguong,"en='Beef, blood' gan nhat='Beef, NFS' score=0.51"
1106093,Tiết lợn sống,khong khop du nguong,en='Hog raw blood' gan nhat='Hog maws' score=0.45
1106094,Tủy xương bò,khong khop du nguong,"en='Beef bone marrow' gan nhat='Caribou, bone marrow, raw (Alaska Native)' score=0.50"
1106095,Tủy xương lợn,khong khop du nguong,"en='Hog, bone marrow' gan nhat='Caribou, bone marrow, raw (Alaska Native)' score=0.50"
1106097,Chả quế lợn,khong khop du nguong,"en='Pork, cinnamon mince grilled' gan nhat='Spices, cinnamon, ground' score=0.28"
1106099,Dồi lợn,khong khop du nguong,"en='Blood mix-pudding with viscera in large in' gan nhat='Cake, pudding-type, chocolate, dry mix' score=0.35"
1106100,Giò bò,khong khop du nguong,"en='Beef, mince lean meat steamed' gan nhat='Beef, ground, 95% lean meat / 5% fat, raw' score=0.53"
1106101,Giò thủ lợn,khong khop du nguong,"en='Pork head meat steamed' gan nhat='Babyfood, meat, pork, strained' score=0.44"
1106102,Lạp xường,khong khop du nguong,"en='Chinese sausage' gan nhat='Sausage, NFS' score=0.51"
1106103,Thịt trâu khô,khong khop du nguong,"en='Buffalo meat, dried' gan nhat='Walrus, meat, dried (Alaska Native)' score=0.51"
1106104,Bột cóc,khong khop du nguong,en='Toad meat powder' gan nhat='Tomato powder' score=0.40
1106105,Châu chấu,khong khop du nguong,"en='Locust' gan nhat='Gums, seed gums (includes locust bean, guar)' score=0.52"
1106107,Nhộng,khong khop du nguong,"en='Silk worm' gan nhat='SILK Nog, soymilk' score=0.41"
1106109,"Thịt lợn, nạc vai",khong khop du nguong,"en='Pork, lean meat, shoulder' gan nhat='Pork, fresh, shoulder, whole, separable lean only, raw' score=0.55"
1106110,"Thịt lợn, nạc mông",khong khop du nguong,"en='Pork, lean meat, thighs' gan nhat='Pork, ground, 96% lean / 4% fat, raw' score=0.44"
1106111,"Thịt lợn, nạc thăn",khong khop du nguong,"en='Pork, lean meat, tenderloin' gan nhat='Pork, fresh, loin, tenderloin, separable lean only, raw' score=0.57"
1106112,"Thịt lợn nửa nạc, nửa mỡ, nướng",khong khop du nguong,"en='Pork, lean and fat meat, grill' gan nhat='Pork, chop, lean and fat eaten' score=0.56"
1106114,"Thịt gà công nghiệp, đùi",khong khop du nguong,"en='Chicken, thighs' gan nhat='Chicken, thighs, frozen, breaded, reheated' score=0.67"
1106115,"Thịt gà công nghiệp, lườn",khong khop du nguong,"en='Chicken, breast' gan nhat='Chicken, breast, boneless, skinless, raw' score=0.71"
1106116,Thịt ngan,khong khop du nguong,"en='Goose meat' gan nhat='Goose, domesticated, meat only, raw' score=0.70"
1106117,Chả lá lốt,khong khop du nguong,"en='Pork roll with lolot pepper leaves' gan nhat='Pork, roll' score=0.40"
1106118,Cá chày,khong khop du nguong,"en='Barbel chub' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106119,Cá dưa,khong khop du nguong,"en='Daggertooth pike conger' gan nhat='Fish, pike' score=0.31"
1106120,Cá dầu,NIN khong co name_en,
1106121,Cá đao,khong khop du nguong,"en='Sawfish' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106122,Cá đé,khong khop du nguong,"en='Chinese herring or slender shad' gan nhat='Fish, herring' score=0.26"
1106123,Cá đồng tiền,khong khop du nguong,"en='Goby' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106124,"Cá khô (chim, thu, nụ, đé)",khong khop du nguong,"en='Dried fish' gan nhat='Fish, whitefish, dried (Alaska Native)' score=0.62"
1106125,Cá lác,NIN khong co name_en,
1106126,Cá mòi (cá sardin),khong khop du nguong,"en='Sardin' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106127,Cá mỡ,NIN khong co name_en,
1106128,Cá mối,khong khop du nguong,"en='Lizardfish' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106129,Cá nạc,NIN khong co name_en,
1106130,Cá phèn,khong khop du nguong,"en='Goatfishes' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106131,Cá rô đồng,khong khop du nguong,"en='Climbing perch' gan nhat='Fish, perch, NFS' score=0.43"
1106132,Cá thờn bơn,khong khop du nguong,"en='Flatfishes' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106134,Cá trạch,khong khop du nguong,"en='Spiny eels' gan nhat='Crustaceans, spiny lobster, mixed species, raw' score=0.33"
1106138,Hải sâm,khong khop du nguong,"en='Sea slug, sea cucumber' gan nhat='Sea cucumber, yane (Alaska Native)' score=0.49"
1106140,Ốc bươu,khong khop du nguong,"en='Snail medium - size, edible' gan nhat='Quail, cooked, total edible' score=0.28"
1106141,Ốc đá,khong khop du nguong,"en='Marble snail, Chinese mysterysnail' gan nhat='Cabbage, Chinese, raw' score=0.29"
1106142,Ốc vặn,khong khop du nguong,"en='Helix' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106143,"Rạm (muối, đồ)",khong khop du nguong,"en='Small sea - crab bicled steamed' gan nhat='Mollusks, scallop, (bay and sea), cooked, steamed' score=0.37"
1106144,Rạm tươi,khong khop du nguong,en='Small sea - crab' gan nhat='Crab' score=0.36
1106145,Rươi,khong khop du nguong,"en='Tylorhynchus sinensis' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106146,Tép gạo,khong khop du nguong,"en='Tiny shrimp, fresh water' gan nhat='Shrimp, NFS' score=0.38"
1106147,Tép khô,khong khop du nguong,"en='Tiny shrimp, sea water, dried' gan nhat='Shrimp, dried' score=0.44"
1106150,Bánh phồng tôm rán,khong khop du nguong,en='Dried shrimp chips' gan nhat='Shrimp chips' score=0.69
1106152,Bột cá,khong khop du nguong,"en='Fish flour bones includ- ed' gan nhat='Flour, chestnut' score=0.28"
1106153,Ruốc cá quả,khong khop du nguong,"en='Fish snake head dried flour with fish sauce' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106154,Ruốc tôm,khong khop du nguong,"en='Shrimp dried flour with fish sauce' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106155,Cá chim,khong khop du nguong,en='Black pomfret' gan nhat='Black Russian' score=0.44
1106156,Cá chim trắng,khong khop du nguong,"en='Silver or white pomfret' gan nhat='Mushrooms, white, raw' score=0.34"
1106157,Cá điêu hồng,khong khop du nguong,"en='Red tilapia' gan nhat='Fish, tilapia, raw' score=0.45"
1106158,"Cá basa, phi lê",khong khop du nguong,"en='Basafish, Catfish, fillet' gan nhat='Fish, catfish, NFS' score=0.38"
1106159,Chả cá basa,khong khop du nguong,"en='Basafish, fishball' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106160,Con trùng trục,khong khop du nguong,"en='Mussel, fresh water' gan nhat='Water, NFS' score=0.47"
1106161,Ngao biển trắng,khong khop du nguong,"en='Sea water clams' gan nhat='Water, NFS' score=0.38"
1106163,Lòng đỏ trứng vịt,khong khop du nguong,"en='Duck egg, yolk' gan nhat='Duck egg, cooked' score=0.69"
1106164,Lòng trắng trứng vịt,khong khop du nguong,"en='Duck egg, white' gan nhat='Duck egg, cooked' score=0.67"
1106166,Trứng cá,khong khop du nguong,"en='Fish roe' gan nhat='Fish, roe, mixed species, raw' score=0.69"
1106168,Bột trứng,khong khop du nguong,"en='Egg powder' gan nhat='Egg, white, dried, powder, stabilized, glucose reduced' score=0.58"
1106169,Trứng gà công nghiệp,NIN khong co name_en,
1106174,Chuối nước đường,khong khop du nguong,"en='Banana, canned sweetened' gan nhat='Coconut cream, canned, sweetened' score=0.56"
1106177,Lạc chao dầu,khong khop du nguong,"en='Peanut, oil fried' gan nhat='Peanut oil' score=0.69"
1106178,Mắc coọc nước đường,khong khop du nguong,en='Pyrus pachis in syrup' gan nhat='Fruit syrup' score=0.35
1106180,Mứt bí ngô,khong khop du nguong,"en='Pumpkin jam' gan nhat='Pumpkin, raw' score=0.56"
1106181,Mứt cam có vỏ,khong khop du nguong,"en='Orange marmalade, jellies' gan nhat='Marmalade, orange' score=0.64"
1106182,Mứt chuối,khong khop du nguong,"en='Banana jam' gan nhat='Banana, raw' score=0.56"
1106183,Mứt dứa,khong khop du nguong,"en='Pineapple jam' gan nhat='Pineapple, raw' score=0.57"
1106184,Mứt đu đủ,khong khop du nguong,"en='Papaya jam' gan nhat='Papaya, raw' score=0.56"
1106185,Nhãn nước đường,khong khop du nguong,"en='Longan, canned sweetened' gan nhat='Coconut cream, canned, sweetened' score=0.58"
1106187,Vải nước đường,khong khop du nguong,"en='Litchi, canned sweetened' gan nhat='Coconut cream, canned, sweetened' score=0.57"
1106189,Cá trích hộp,khong khop du nguong,"en='Herring, canned' gan nhat='Cherries, canned' score=0.50"
1106193,"Thịt lợn, thịt bò xay hộp",khong khop du nguong,"en='Pork beef mince canned' gan nhat='Sausage, Vienna, canned, chicken, beef, pork' score=0.54"
1106194,Thịt vịt hầm,khong khop du nguong,"en='Duck, stewed meat' gan nhat='Duck, domesticated, meat only, raw' score=0.55"
1106195,Bánh bích cốt,khong khop du nguong,"en='Whole wheat rusk' gan nhat='Roll, whole wheat' score=0.60"
1106196,Bánh bích quy,khong khop du nguong,"en='Biscuits, plain' gan nhat='Biscuits, plain or buttermilk, dry mix' score=0.67"
1106197,Bánh chả,khong khop du nguong,"en='Small biscuit, fried' gan nhat='Biscuit, NFS' score=0.39"
1106198,Bánh con cá,khong khop du nguong,"en='Small biscuits, fish figured' gan nhat='Fish, catfish, fried' score=0.28"
1106199,Bánh đậu xanh,khong khop du nguong,en='Mungbean cake' gan nhat='Bean cake' score=0.50
1106200,Bánh kem xốp,khong khop du nguong,"en='Wafers filled' gan nhat='Pastry, fruit-filled' score=0.43"
1106201,Bánh khảo chay,khong khop du nguong,"en='Rice cake, plain' gan nhat='Rice cake' score=0.68"
1106202,Bánh quế,khong khop du nguong,"en='Cinnamon waffle (roll)' gan nhat='Waffle, cinnamon' score=0.62"
1106204,Bánh thỏi sô cô la,khong khop du nguong,en='Chocolate sweet' gan nhat='Chocolate syrup' score=0.48
1106205,Bánh trứng nhện,khong khop du nguong,"en='Small biscuit' gan nhat='Biscuit, NFS' score=0.52"
1106208,Kẹo bơ cứng,khong khop du nguong,"en='Toffee, sweets' gan nhat='Cookie, toffee bar' score=0.39"
1106209,Kẹo cà phê,khong khop du nguong,"en='Coffee sweets' gan nhat='Coffee, NS as to type' score=0.51"
1106210,Kẹo cam chanh,khong khop du nguong,"en='Sweets, caramel with citron, orange aroma' gan nhat='Beverages, carbonated, orange' score=0.23"
1106211,Kẹo dừa mềm,khong khop du nguong,"en='Sweets with coconut aroma' gan nhat='Coconut, fresh' score=0.36"
1106212,Kẹo dứa mềm,khong khop du nguong,"en='Pineapple sweets candy' gan nhat='Pineapple, raw' score=0.39"
1106214,Kẹo Pastille (kẹo ngậm bạc hà),khong khop du nguong,"en='Menthol pastille' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1106215,Kẹo sô cô la,khong khop du nguong,"en='Sweets with chocolate' gan nhat='Gelato, chocolate' score=0.46"
1106216,Kẹo sữa,khong khop du nguong,"en='Sweets with milk' gan nhat='Milk, NFS' score=0.47"
