category,serving_g,note,source
wweia_1602,21.0,Cheese,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 371 ban ghi khau phan that, nhom 'Cheese' (ma WWEIA 1602). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1604,136.5,Cottage/ricotta cheese,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 38 ban ghi khau phan that, nhom 'Cottage/ricotta cheese' (ma WWEIA 1604). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1820,170.0,"Yogurt, regular","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 77 ban ghi khau phan that, nhom 'Yogurt, regular' (ma WWEIA 1820). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1822,150.0,"Yogurt, Greek","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 69 ban ghi khau phan that, nhom 'Yogurt, Greek' (ma WWEIA 1822). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1902,61.0,Plant-based milk,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 74 ban ghi khau phan that, nhom 'Plant-based milk' (ma WWEIA 1902). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1904,150.0,Plant-based yogurt,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 15 ban ghi khau phan that, nhom 'Plant-based yogurt' (ma WWEIA 1904). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2002,120.0,"Beef, excludes ground","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 224 ban ghi khau phan that, nhom 'Beef, excludes ground' (ma WWEIA 2002). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2004,85.0,Ground beef,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 26 ban ghi khau phan that, nhom 'Ground beef' (ma WWEIA 2004). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2006,85.0,Pork,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 133 ban ghi khau phan that, nhom 'Pork' (ma WWEIA 2006). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2008,85.0,"Lamb, goat, game","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 49 ban ghi khau phan that, nhom 'Lamb, goat, game' (ma WWEIA 2008). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2010,85.0,Liver and organ meats,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 44 ban ghi khau phan that, nhom 'Liver and organ meats' (ma WWEIA 2010). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2202,85.0,"Chicken, whole pieces","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 942 ban ghi khau phan that, nhom 'Chicken, whole pieces' (ma WWEIA 2202). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2204,75.0,"Chicken patties, nuggets and tenders","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 58 ban ghi khau phan that, nhom 'Chicken patties, nuggets and tenders' (ma WWEIA 2204). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2206,85.0,"Turkey, duck, other poultry","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 232 ban ghi khau phan that, nhom 'Turkey, duck, other poultry' (ma WWEIA 2206). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2402,115.0,Fish,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 699 ban ghi khau phan that, nhom 'Fish' (ma WWEIA 2402). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2404,85.0,Shellfish,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 147 ban ghi khau phan that, nhom 'Shellfish' (ma WWEIA 2404). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2502,111.0,Eggs and omelets,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 463 ban ghi khau phan that, nhom 'Eggs and omelets' (ma WWEIA 2502). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2602,56.0,Cold cuts and cured meats,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 202 ban ghi khau phan that, nhom 'Cold cuts and cured meats' (ma WWEIA 2602). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2604,12.0,Bacon,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 93 ban ghi khau phan that, nhom 'Bacon' (ma WWEIA 2604). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2606,57.0,Frankfurters,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 30 ban ghi khau phan that, nhom 'Frankfurters' (ma WWEIA 2606). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2608,35.0,Sausages,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 162 ban ghi khau phan that, nhom 'Sausages' (ma WWEIA 2608). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2802,130.0,"Beans, peas, legumes","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 183 ban ghi khau phan that, nhom 'Beans, peas, legumes' (ma WWEIA 2802). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2804,28.4,Nuts and seeds,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 411 ban ghi khau phan that, nhom 'Nuts and seeds' (ma WWEIA 2804). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_2806,59.5,Soy and meat-alternative products,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 56 ban ghi khau phan that, nhom 'Soy and meat-alternative products' (ma WWEIA 2806). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3002,189.0,Meat mixed dishes,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 651 ban ghi khau phan that, nhom 'Meat mixed dishes' (ma WWEIA 3002). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3004,241.0,Poultry mixed dishes,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 359 ban ghi khau phan that, nhom 'Poultry mixed dishes' (ma WWEIA 3004). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3006,177.5,Seafood mixed dishes,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 204 ban ghi khau phan that, nhom 'Seafood mixed dishes' (ma WWEIA 3006). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3102,170.0,"Bean, pea, legume dishes","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 54 ban ghi khau phan that, nhom 'Bean, pea, legume dishes' (ma WWEIA 3102). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3104,125.0,Vegetable dishes,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 77 ban ghi khau phan that, nhom 'Vegetable dishes' (ma WWEIA 3104). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3202,175.5,Rice mixed dishes,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 270 ban ghi khau phan that, nhom 'Rice mixed dishes' (ma WWEIA 3202). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3204,250.0,"Pasta mixed dishes, excludes macaroni and cheese","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 538 ban ghi khau phan that, nhom 'Pasta mixed dishes, excludes macaroni and cheese' (ma WWEIA 3204). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3206,230.0,Macaroni and cheese,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 37 ban ghi khau phan that, nhom 'Macaroni and cheese' (ma WWEIA 3206). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3208,105.0,Turnovers and other grain-based items,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 114 ban ghi khau phan that, nhom 'Turnovers and other grain-based items' (ma WWEIA 3208). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3402,205.0,Fried rice and lo/chow mein,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 88 ban ghi khau phan that, nhom 'Fried rice and lo/chow mein' (ma WWEIA 3402). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3404,183.0,Stir-fry and soy-based sauce mixtures,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 172 ban ghi khau phan that, nhom 'Stir-fry and soy-based sauce mixtures' (ma WWEIA 3404). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3406,100.0,"Egg rolls, dumplings, sushi","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 77 ban ghi khau phan that, nhom 'Egg rolls, dumplings, sushi' (ma WWEIA 3406). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3502,122.0,Burritos and tacos,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 244 ban ghi khau phan that, nhom 'Burritos and tacos' (ma WWEIA 3502). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3504,135.0,Nachos,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 35 ban ghi khau phan that, nhom 'Nachos' (ma WWEIA 3504). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3506,130.0,Other Mexican mixed dishes,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 176 ban ghi khau phan that, nhom 'Other Mexican mixed dishes' (ma WWEIA 3506). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3602,157.0,Pizza,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 975 ban ghi khau phan that, nhom 'Pizza' (ma WWEIA 3602). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3702,165.0,Burgers,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 126 ban ghi khau phan that, nhom 'Burgers' (ma WWEIA 3702). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3703,102.0,Frankfurter sandwiches,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 63 ban ghi khau phan that, nhom 'Frankfurter sandwiches' (ma WWEIA 3703). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3704,161.0,Chicken fillet sandwiches,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 95 ban ghi khau phan that, nhom 'Chicken fillet sandwiches' (ma WWEIA 3704). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3706,165.0,Egg/breakfast sandwiches,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 185 ban ghi khau phan that, nhom 'Egg/breakfast sandwiches' (ma WWEIA 3706). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3720,109.0,Cheese sandwiches,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 28 ban ghi khau phan that, nhom 'Cheese sandwiches' (ma WWEIA 3720). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3722,92.0,Peanut butter and jelly sandwiches,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 66 ban ghi khau phan that, nhom 'Peanut butter and jelly sandwiches' (ma WWEIA 3722). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3730,180.0,Seafood sandwiches,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 93 ban ghi khau phan that, nhom 'Seafood sandwiches' (ma WWEIA 3730). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3740,155.0,Deli and cured meat sandwiches,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 255 ban ghi khau phan that, nhom 'Deli and cured meat sandwiches' (ma WWEIA 3740). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3742,180.0,Meat and BBQ sandwiches,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 76 ban ghi khau phan that, nhom 'Meat and BBQ sandwiches' (ma WWEIA 3742). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3744,165.0,Vegetable sandwiches/burgers,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 38 ban ghi khau phan that, nhom 'Vegetable sandwiches/burgers' (ma WWEIA 3744). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3804,245.0,"Soups, broth-based","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 143 ban ghi khau phan that, nhom 'Soups, broth-based' (ma WWEIA 3804). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3806,255.0,"Soups, cream-based","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 46 ban ghi khau phan that, nhom 'Soups, cream-based' (ma WWEIA 3806). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_3808,245.0,Ramen and Asian broth-based soups,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 32 ban ghi khau phan that, nhom 'Ramen and Asian broth-based soups' (ma WWEIA 3808). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4002,150.5,Rice,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 62 ban ghi khau phan that, nhom 'Rice' (ma WWEIA 4002). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4004,150.0,"Pasta, noodles, cooked grains","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 56 ban ghi khau phan that, nhom 'Pasta, noodles, cooked grains' (ma WWEIA 4004). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4202,28.0,Yeast breads,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 687 ban ghi khau phan that, nhom 'Yeast breads' (ma WWEIA 4202). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4204,45.0,Rolls and buns,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 160 ban ghi khau phan that, nhom 'Rolls and buns' (ma WWEIA 4204). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4206,58.0,Bagels and English muffins,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 119 ban ghi khau phan that, nhom 'Bagels and English muffins' (ma WWEIA 4206). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4208,45.0,Tortillas,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 31 ban ghi khau phan that, nhom 'Tortillas' (ma WWEIA 4208). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4402,65.0,"Biscuits, muffins, quick breads","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 211 ban ghi khau phan that, nhom 'Biscuits, muffins, quick breads' (ma WWEIA 4402). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4404,50.0,"Pancakes, waffles, French toast","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 305 ban ghi khau phan that, nhom 'Pancakes, waffles, French toast' (ma WWEIA 4404). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4602,35.0,"Ready-to-eat cereal, higher sugar (>21.2g/100g)","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 66 ban ghi khau phan that, nhom 'Ready-to-eat cereal, higher sugar (>21.2g/100g)' (ma WWEIA 4602). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4604,30.0,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 64 ban ghi khau phan that, nhom 'Ready-to-eat cereal, lower sugar (=<21.2g/100g)' (ma WWEIA 4604). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4802,210.0,Oatmeal,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 124 ban ghi khau phan that, nhom 'Oatmeal' (ma WWEIA 4802). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_4804,240.0,Grits and other cooked cereals,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 99 ban ghi khau phan that, nhom 'Grits and other cooked cereals' (ma WWEIA 4804). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5002,28.0,Potato chips,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 194 ban ghi khau phan that, nhom 'Potato chips' (ma WWEIA 5002). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5004,30.0,"Tortilla, corn, other chips","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 198 ban ghi khau phan that, nhom 'Tortilla, corn, other chips' (ma WWEIA 5004). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5006,30.0,Popcorn,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 173 ban ghi khau phan that, nhom 'Popcorn' (ma WWEIA 5006). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5008,31.0,Pretzels/snack mix,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 370 ban ghi khau phan that, nhom 'Pretzels/snack mix' (ma WWEIA 5008). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5202,18.0,"Crackers, excludes saltines","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 304 ban ghi khau phan that, nhom 'Crackers, excludes saltines' (ma WWEIA 5202). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5204,18.0,Saltine crackers,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 24 ban ghi khau phan that, nhom 'Saltine crackers' (ma WWEIA 5204). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5402,35.0,Cereal bars,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 86 ban ghi khau phan that, nhom 'Cereal bars' (ma WWEIA 5402). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5404,50.0,Nutrition bars,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 29 ban ghi khau phan that, nhom 'Nutrition bars' (ma WWEIA 5404). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5502,150.0,Cakes and pies,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 435 ban ghi khau phan that, nhom 'Cakes and pies' (ma WWEIA 5502). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5504,30.0,Cookies and brownies,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 481 ban ghi khau phan that, nhom 'Cookies and brownies' (ma WWEIA 5504). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5506,70.0,"Doughnuts, sweet rolls, pastries","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 271 ban ghi khau phan that, nhom 'Doughnuts, sweet rolls, pastries' (ma WWEIA 5506). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5702,45.0,Candy containing chocolate,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 179 ban ghi khau phan that, nhom 'Candy containing chocolate' (ma WWEIA 5702). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5704,30.0,Candy not containing chocolate,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 125 ban ghi khau phan that, nhom 'Candy not containing chocolate' (ma WWEIA 5704). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5802,135.0,Ice cream and frozen dairy desserts,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 205 ban ghi khau phan that, nhom 'Ice cream and frozen dairy desserts' (ma WWEIA 5802). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5804,130.0,Pudding,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 64 ban ghi khau phan that, nhom 'Pudding' (ma WWEIA 5804). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_5806,95.0,"Gelatins, ices, sorbets","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 60 ban ghi khau phan that, nhom 'Gelatins, ices, sorbets' (ma WWEIA 5806). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6002,165.0,Apples,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 27 ban ghi khau phan that, nhom 'Apples' (ma WWEIA 6002). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6004,140.0,Bananas,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 9 ban ghi khau phan that, nhom 'Bananas' (ma WWEIA 6004). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6008,113.0,Peaches and nectarines,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 27 ban ghi khau phan that, nhom 'Peaches and nectarines' (ma WWEIA 6008). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6009,100.0,Strawberries,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 8 ban ghi khau phan that, nhom 'Strawberries' (ma WWEIA 6009). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6011,75.0,Blueberries and other berries,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 30 ban ghi khau phan that, nhom 'Blueberries and other berries' (ma WWEIA 6011). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6012,113.0,Citrus fruits,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 44 ban ghi khau phan that, nhom 'Citrus fruits' (ma WWEIA 6012). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6014,137.5,Melons,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 30 ban ghi khau phan that, nhom 'Melons' (ma WWEIA 6014). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6016,40.0,Dried fruits,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 55 ban ghi khau phan that, nhom 'Dried fruits' (ma WWEIA 6016). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6018,95.0,Other fruits and fruit salads,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 113 ban ghi khau phan that, nhom 'Other fruits and fruit salads' (ma WWEIA 6018). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
