id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,thai_bo_pct,is_estimated
25,Thịt vịt,,thịt,267,17.8,0,21.8,0,0,63,209,145,,,,,,,NIN,"NIN Bảng TPTP VN (mã 7028) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",55,FALSE
26,Gan lợn,gan heo,thịt,116,18.8,2,3.6,0,,110,447,353,289,"USDA/ODS-NIH Purine DB R2.0 (2025) — Pork, liver, raw [USA]",,,,,NIN,NIN Bảng TPTP VN (mã 7041),0,FALSE
27,Lòng lợn,lòng heo,thịt,231,12.4,0.0,20.2,0.0,0,325,14,65,,,,,,,estimated,"USDA FDC (FNDDS/WWEIA Survey Foods) fdcId:2706163, foodCode 25170210, ""Chitterlings"" — lòng lợn kiểu chế biến phương Tây (thường chiên/nấu nhiều mỡ), KHÔNG phải lòng luộc kiểu Việt — dùng tạm làm proxy, chất béo có thể cao hơn thực tế món luộc | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",,TRUE
28,Tim lợn,tim heo,thịt,94,15.1,1.2,3.2,0,,56,294,213,119.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Pork heart, raw [Japan]. Tim lợn. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 7057),6,FALSE
31,Nem chua,,thịt,125,20.7,3.2,3.3,0,,476,194,78,,,,,,,NIN,NIN Bảng TPTP VN (mã 7073),0,FALSE
32,Xúc xích,,thịt,535,27.2,0,47.4,0,0,287,219,139,49.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Frankfurter [Japan]. Xúc xích — PROXY, dao động RỘNG tuỳ loại/thành phần: 49.9 (Nhật) đến 114.9-169.5 (Bắc Mỹ, bò/thịt hỗn hợp). Dùng giá trị thấp nhất tìm được, KHÔNG đại diện mọi loại xúc xích.",,,,,NIN,"NIN Bảng TPTP VN (mã 7077) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
33,Trứng gà,,trứng,150,12.96,1.25,10.33,0,0.77,158,176,210,0.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Egg, chicken, raw [Japan]. Trứng gà nguyên quả. Đo trên mẫu Nhật Bản.",,,,trứng,NIN,NIN Bảng TPTP VN (mã 9001),14,FALSE
34,Trứng vịt,,trứng,172,13.02,2.94,12.02,0,0.93,191,258,210,0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Egg, chicken, raw. Trứng vịt. Mức tin cậy: thay thế gần. trứng vịt ≈ trứng gà; phần ăn được của trứng không có nhân tế bào.",,,,trứng,NIN,NIN Bảng TPTP VN (mã 9004),12,FALSE
35,Trứng vịt lộn,,trứng,182,13.6,4,12.4,0,,94,131,212,,,,,,trứng,NIN,NIN Bảng TPTP VN (mã 9010),12,FALSE
36,Trứng cút,,trứng,157,12.78,2.89,10.47,0,0.41,141,132,226,0.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Egg, quail, raw [Japan]. Trứng cút nguyên quả. Đo trên mẫu Nhật Bản.",,,,trứng,NIN,NIN Bảng TPTP VN (mã 9007),11,FALSE
38,Cá rô phi,,thủy sản,96.0,20.1,0.0,1.7,0.0,0.0,52.0,302,170,,,,,,cá,USDA,USDA FDC fdcId:175176,,FALSE
39,Cá chép,,thủy sản,96,16,0,3.6,0,0,49,397,184,103.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Carp, raw [Japan]. Cá chép. Đo trên mẫu Nhật Bản.",,,,cá,NIN,"NIN Bảng TPTP VN (mã 8003) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",40,FALSE
40,Cá basa,cá tra,thủy sản,119,15.2,0,5.94,0,0,98,302,204,205.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Catfish, farmed, raw [USA]. Cá basa (Pangasius) — PROXY cùng bộ cá da trơn (Siluriformes) nhưng khác loài (catfish Mỹ = Ictalurus punctatus). Cần R2 xác nhận độ phù hợp.",,,,cá,NIN,"NIN Bảng TPTP VN (mã 8092) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",,FALSE
41,Cá thu,,thủy sản,166,18.2,0,10.3,0,0,110,486,90,194,"USDA/ODS-NIH Purine DB R2.0 (2025) — Mackerel, raw (unspecified) [USA]",,,,cá,NIN,"NIN Bảng TPTP VN (mã 8026) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",35,FALSE
42,Cá ngừ,,thủy sản,87,21,0,0.3,0,0,78,518,206,157.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Tuna, raw (unspecified) [Japan]",,,,cá,NIN,"NIN Bảng TPTP VN (mã 8019) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",42,FALSE
43,Cá nục,,thủy sản,111,20.2,0,3.3,0,0,104,383,160,,,,,,cá,NIN,"NIN Bảng TPTP VN (mã 8020) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",,FALSE
44,Cá trích,,thủy sản,166,17.7,0,10.6,0,0,160,423,174,139.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Herring, raw [Japan]",,,,cá,NIN,"NIN Bảng TPTP VN (mã 8031) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",35,FALSE
45,Cá hồi,,thủy sản,136,22,0,5.3,0,0,46,423,230,250,"USDA/ODS-NIH Purine DB R2.0 (2025) — Salmon, mixed species, raw [USA]",,,,cá,NIN,"NIN Bảng TPTP VN (mã 8011) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",40,FALSE
47,Tôm biển,,thủy sản,82,17.6,0.9,0.9,0,,148,185,184,166.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Shrimp, raw (unspecified) [Japan]",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8051),54,FALSE
48,Tôm sú,,thủy sản,90,17.2,1.15,1.28,0.0,0,248,143,308,166.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Shrimp, raw (unspecified) [Japan]",,,,hải sản,USDA,"USDA FDC (FNDDS/WWEIA Survey Foods) fdcId:2706363, foodCode 26319130, ""Shrimp, steamed or boiled"" — tôm chung, không phân biệt loài tôm sú cụ thể; sugar_g từ USDA FDC fdcId:2706363 'Total Sugars'",,FALSE
49,Cua đồng,,thủy sản,87,12.3,2,3.3,0,,453,266,171,136.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Crab, snow, raw [Japan]",,,,hải sản,NIN,"Viện Dinh dưỡng - Bộ Y tế, 'Bảng thành phần thực phẩm Việt Nam / Vietnamese Food Composition Table', NXB Y học; bản PDF do FAO lưu trữ (fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf), mã 8034 'Cua đồng / Crab, fresh water' (STT 394). Sửa 2026-08-15: Na 1484->453, K 27->266 — mọi trường khác của dòng này ĐÃ khớp đúng mã 8034 (protein 12.3, lipid 3.3, glucid 2.0, P 171, kcal 87), chỉ riêng 2 ô Na/K sai. Hệ quả trước khi sửa: BUN-RIEU-VCB cộng 5.936 mg natri chỉ từ 400g cua, gấp 3 lần trần ngày",69,FALSE
50,Ghẹ,,thủy sản,54,11.9,0,0.7,0,0,293,329,229,136.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Crab, snow, raw [Japan]",,,,hải sản,NIN,"NIN Bảng TPTP VN (mã 8035) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",68,FALSE
51,Mực tươi,,thủy sản,73,16.3,0,0.9,0,0,44,273,150,135,"USDA/ODS-NIH Purine DB R2.0 (2025) — Squid, raw (unspecified) [USA]",,,,hải sản,NIN,"NIN Bảng TPTP VN (mã 8040) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",22,FALSE
52,Ngao,nghêu,thủy sản,86.0,14.7,3.57,0.96,0.0,0.0,601,46.0,198,136,"USDA/ODS-NIH Purine DB R2.0 (2025) — Clams, raw [USA]",,,,hải sản,USDA,USDA FDC fdcId:174214,,FALSE
53,Hến,,thủy sản,45,4.5,5.1,0.7,0,,86,54,86,145.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Clams, raw [Japan]. Hến — PROXY nhóm ngao/hến nói chung (dải 110.2 Trung Quốc - 145.4 Nhật - 136.0 Bắc Mỹ), không phải đúng loài hến VN.",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8037),82,FALSE
55,Đậu phụ,đậu hũ|tàu hũ,đậu,97,10.9,1.1,5.4,0.4,,7,121,85,31.1,"USDA/ODS-NIH Purine DB R2.0 (2025) — Tofu, raw (nigari) [Japan]",,,,đậu nành,NIN,NIN Bảng TPTP VN (mã 3025),0,FALSE
56,Đậu phụ chiên,,đậu,270,18.82,8.86,20.18,3.9,2.72,16,146,287,54.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Tofu, deep-fried. Đậu phụ chiên. Mức tin cậy: khớp trực tiếp.",,,,đậu nành,USDA,"Khớp chéo ngôn ngữ (không phải khớp trực tiếp) — USDA FoodData Central 'Tofu, fried' (fdcId:172451), lý do khớp: đậu phụ chiên = fried tofu, khớp trực tiếp. CẦN R2 xác nhận độ phù hợp trước khi dùng cho bệnh nhân.; sugar_g từ USDA FDC fdcId:172451 'Total Sugars'",,TRUE
57,Sữa đậu nành,,đậu,29,3.1,0.5,1.6,0.1,,55,124,36,21.91,USDA/ODS-NIH Purine DB R2.0 (2025) — Soy milk [Japan]. Sữa đậu nành. Đo trên mẫu Nhật Bản.,,,,đậu nành,NIN,NIN Bảng TPTP VN (mã 3032),0,FALSE
58,Đậu xanh,,đậu,346,23.4,57.8,2.4,4.7,6.6,6,1132,377,,,42,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1302) — Mung bean, pressure cooked, Australia 1998, GI 42±5; glucose=100",,NIN,"NIN Bảng TPTP VN (mã 3010) | sugar_g = 6,6 g/100 g tra chéo từ USDA FoodData Central fdcId:174256 'Mung beans, mature seeds, raw' [R2 CHỐT 2026-08-18 (DAT-28): ánh xạ xác minh bằng đối chiếu mô tả USDA trả về. Đậu xanh là nguyên liệu được NHIỀU MÓN DÙNG NHẤT trong nhóm còn thiếu (13 món). Hạn chế đã biết: carb_g từ NIN, sugar_g từ USDA — hai bảng đo giống khác nhau; ràng buộc sugar_g <= carb_g vẫn được validate_data.py kiểm.]",2,FALSE
59,Đậu đen,,đậu,341,21.6,62.4,1.42,15.5,2.12,5.0,1480.0,352,,,,,,,USDA,USDA FDC fdcId:173734,,FALSE
60,Đậu đỏ,,đậu,329,19.9,62.9,0.53,12.7,,5.0,1250.0,381,,,,,,,USDA,USDA FDC fdcId:173727,,FALSE
61,Đậu tương hạt,đậu nành hạt,đậu,418,34,29.1,18.4,4.5,,2,1504,690,172.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Soybeans, dried, raw [Japan]",,,,đậu nành,NIN,NIN Bảng TPTP VN (mã 3007),2,FALSE
