dish_id,name_vi,region,serving_g,verified_by,note
VFR-88,Vịt kho củ cải mặn,,630.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=88). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-93,Canh cua chả cá,,850.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=93). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-94,Chả chay rim ngũ vị,,300.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=94). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-102,Cá cam phủ tuyết,,300.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=102). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-113,Chân gà sả tắc,,400.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=113). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-126,Canh ếch lá giang,,300.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=126). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-131,Cá gáy chiên xốt chanh sả,,350.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=131). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-136,Bánh sen chiên giòn,,150.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=136). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-143,Cá hồi kho nước tương,,400.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=143). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-152,Canh tôm rau cần nước,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=152). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-153,Thịt rang sả,,300.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=153). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-155,Hoành thánh nhân đậu chiên,,80.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=155). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-156,Tôm chiên ủ rơm,,250.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=156). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-162,Nghêu xào lá khổ qua,,2250.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=162). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-163,Cánh gà nhồi củ năng,,20.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=163). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-174,Gà chiên lá é,,500.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=174). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-175,Canh nghêu kim chi tía tô,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=175). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-180,Cá bớp chiên giòn xốt chanh,,300.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=180). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-198,Bánh cá khoai tây,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=198). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-206,Bánh rau củ chiên,,30.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=206). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-214,Bún cua lưỡi heo,,500.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=214). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-219,Gỏi cá,,300.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=219). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-220,Bột chiên,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=220). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-227,Bánh bột báng ngũ sắc,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=227). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-228,Sườn nướng lá hương thảo,,600.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=228). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-238,Canh gà măng chua lá giang,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=238). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-243,Mướp khía xào mực,,300.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=243). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-245,Canh chùm ngây sườn non,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=245). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-246,Kiểm,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=246). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-248,Chả lụa chay,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=248). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-250,Chả cá vị cà ri,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=250). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-251,Cá lóc chiên mắm sả,,350.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=251). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-260,Cá chạch chiên lá quế,,300.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=260). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-283,Thịt bò chiên mắm bò hóc,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=283). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-289,Heo xiên que nướng mắc khén,,600.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=289). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-299,Cá đổng kho dưa cà,,400.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=299). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-302,Bacon xào bông cải măng tây,,150.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=302). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-308,Tôm chiên lá cà ri,,600.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=308). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-318,Salad cá chiên giòn,,800.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=318). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-319,Bánh cuốn lòng vịt,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=319). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-328,Rong biển cuộn đậu hũ,,300.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=328). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-329,Gỏi bưởi cá hồi,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=329). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-333,Mì Spaghetti xốt chay,,200.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=333). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
