vifoodrec_food_id,name_vi,reason,detail
54,Gà chiên xốt táo,unparsed_main_ingredient,"Nước táo hộp : 200 muỗngl; Táo cắt hạt lựu : 1 trái; Nước tỏi : 2 muỗng, Nước bột năng, Dầu ăn, tiêu, tương ớt, dầu điều, xà lách, Hạt nêm Aji-ngon Gà"
55,Heo kho tàu,unparsed_main_ingredient,Nước dừa xiêm: 1 quả; Trứng gà: 4 quả
56,Gà cuộn cải bó xôi đút lò,unparsed_main_ingredient,"Cà rốt : 1/2 củ, Hỗn hợp lá thơm khô của Ý, Sữa tươi, kem sữa béo, Tiêu, nước bột năng, dầu ăn, Hạt nêm Aji-ngon Heo, Bột ngọt AJI-NO-MOTO, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản"
57,Thăn heo chiên giòn rau quế,low_food_id_cover,"cover=0.00 thieu: Thịt thăn ngoại  , Rau quế 20 lá"
58,Đậu bắp nhồi chiên giòn,unparsed_main_ingredient,Đậu bắp: 10 trái; Nước cốt chanh dây: 1 muỗng
59,Sườn nấu đậu ngự,unparsed_main_ingredient,Dừa tươi: 1 quả; Bột mì: 1 muỗng; RAU NÊM: Ngỏ rí
60,Sụn gà rang lá cà ri cay,unparsed_main_ingredient,Lá cà ri tươi: 3 nhánh
61,Ngọc mực xóc tỏi,low_food_id_cover,"cover=0.43 thieu: Ngọc mực còn gọi là răng mực, Tỏi củ nhỏ đập dập"
62,Pancake sầu riêng,unparsed_main_ingredient,Lá dứa: 2 lá; Bột năng: 2 muỗng
63,Súp bát trân chay,low_food_id_cover,cover=0.00 thieu: Nước dùng rau củ
65,Cơm chiên chay,unparsed_main_ingredient,Cơm: 2 tô; Củ sắn: 1/3 củ; Cà rốt: 1/2 củ; Nấm mèo: 2 tai
66,Lẩu nấm đầu cá hồi,unparsed_main_ingredient,"Rau ăn kèm: bún tươi, xà lách búp cắt sợi, giá, ngò gai, rau thơm, nước mắm ớt..., Bột ngọt AJI-NO-MOTO, Hạt nêm Aji-ngon Heo"
67,Cơm chiên cá mặn,unparsed_main_ingredient,Cơm trắng: 3 chén; Xà lách: 1 búp; Trứng vịt: 2 cái; gừng cắt lát: 2 muỗng
68,Bánh quẩy nhồi chả tôm,unparsed_main_ingredient,Bánh quẩy lớn: 2 cặp; Lòng trắng trứng gà: 1 quả; Nước cốt chanh: 1 muỗng
69,Canh tôm chua cay,unparsed_main_ingredient,Thơm: 1/4 trai; Ca chua chin đo: 2 qua; Hanh tây: 1/2 cu; Toi băm: 2 muỗng
70,Cơm gà,unparsed_main_ingredient,"Gà ta : 1/2 con; Bột nghệ : 1/4 muỗng; Cà rốt : 1/4 củ; Đầu hành băm : 1/2 muỗng, Hành phi, ớt hiểm, Muối, đường, dầu ăn, gừng đập dập, Hạt nêm Aji-ngon Heo, Giấm gạo lên men Ajinomoto, Bột ngọt AJI-NO-MOTO, Nước tương Phú Sĩ"
71,Khai vị đầu xuân,unparsed_main_ingredient,"Sandwich: 4 muỗngiếng; Trứng vịt bắc thảo: 2 quả; Thịt nguội: 4 lát; Xà lách xanh: 4 lá, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản"
72,Cơm gạo lức chiên nghêu,unparsed_main_ingredient,"Trứng vịt muối luộc : 1 quả, Tỏi băm Hành, ngò Đường, dầu ăn, tiêu, Bột ngọt AJI-NO-MOTO, Nước tương Phú Sĩ, Hạt nêm Aji-ngon Heo"
73,Cá trắm kho riềng,unparsed_main_ingredient,Riềng bắc non: 2 củ nhỏ
74,Trứng chiên ngải cứu,unparsed_main_ingredient,"Trang trí: dưa leo, cà chua bi, Hạt nêm Aji-ngon Heo, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản"
75,Cá thu nhật kho me,unparsed_main_ingredient,"Nước cốt me : 1/2 chén; Dừa xiêm : 1 trái, Hành, tỏi băm, Gừng cắt sợi, Tiêu, đường, dầu màu điều, nước mắm, dầu ăn, Bột ngọt AJI-NO-MOTO"
76,Nấm tuyết xào hải sâm,unparsed_main_ingredient,"Nấm tuyết : 1 cái vừa; Nước dừa: 1 chén, Hạt nêm Aji-ngon Nấm, Nước tương Phú Sĩ"
77,Mề gà kho thơm,unparsed_main_ingredient,Thơm chín 1/4 quả; Nước dừa 1 chén; rau răm; rượu trắng
78,Bánh muffin chuối socola,unparsed_main_ingredient,"Trứng gà: 2 quả; Chuối già hương: 2 trái 1 trái cắt lát, phần còn lại cắt nhỏ, vắt 1/2 muỗng nước cốt chanh vào; Bột quế: 1/3 muỗng"
79,Súp trân châu,unparsed_main_ingredient,Trứng gà: 2 quả; Bột năng: 5 muỗng
80,Bún gạo xào mayo,unparsed_main_ingredient,RAU NÊM: Ngò rí
81,Lẩu chem chép tía tô,unparsed_main_ingredient,"Nấm mèo cắt nhỏ : 1 muỗng; Cà chua : 2 trái; Rau tía tô : 1 chén, Hành, tỏi băm, Gừng băm, sả cây đập dập, Bún, Nấm bào ngư, Đậu hũ chiên, Bông súng, rau muống, rau nhút, Đường, tiêu, dầu ăn, Bột ngọt AJI-NO-MOTO, Gia vị nêm sẵn Aji-Quick Lẩu Thái"
82,Salad đậu cay,unparsed_main_ingredient,Đậu hũ chiên 1 muỗngiếng; Poa rô cắt khúc 3cm; Rau quế; Xốt Mayonnaise Aji-mayo Vị Nguyên Bản
83,Salad cải mầm tôm chiên,unparsed_main_ingredient,Vỏ chanh mài: 1 muỗng
85,Gà quay xốt kem nấm,unparsed_main_ingredient,Gà ta 1/2 con; Kem tươi 2 chén; Sữa tươi không đường 1 chén; Nước hành tỏi xay 3 muỗng
87,Pancake Custard Trứng,unparsed_main_ingredient,RAU NÊM: húng lủi
89,Viên xôi chiên,unparsed_main_ingredient,Nước cốt dừa 100 muỗngl; Bánh tráng tròn nhỏ 8 cái; bột năng; Xốt mận hoặc tương xí muội
90,Củ hũ dừa xào ba chỉ,unparsed_main_ingredient,"RAU NÊM: hành tím băm, ngò và rau quế cắt khúc"
91,Pancake chuối xúc xích,unparsed_main_ingredient,Chuối cau 4 quả; Tinh dầu chuối 1/6 muỗng; Tương cà 1 chai; Bột bánh rán pha sẵn vị truyền thống
92,Salad cam tình yêu,unparsed_main_ingredient,Bắp cải tím: 1/3 bắp; Cam Mỹ: 1 trái
95,Đậu cove xào ba rọi xông khói,unparsed_main_ingredient,Trứng vịt 1 quả; Cà rốt 1/2 củ; rượu trắng
96,Ếch om tỏi,unparsed_main_ingredient,Ếch nguyên con làm sạch; Sả: 1 cây; Dầu màu điều: 1 muỗng; Nước dừa tươi: 1 chén
97,Nicoise salad (Salad trứng cá ngừ),unparsed_main_ingredient,Cá ngừ hộp 1 hộp; Xà lách búp 1 búp; Cà chua 1 quả; Khoai tây luộc 1 củ
98,Cá hồi xốt cà ri me,unparsed_main_ingredient,Cà tím 1/2 quả; Đậu bắp 5 trái; Cà chua 1 quả; Lá cà ri tươi 10 lá
99,Gà nướng chảo,no_metric_qty,khong co nguyen lieu nao ghi don vi g/kg/ml/l parse duoc
100,Cuốn chả tôm,unparsed_main_ingredient,Đậu que : 4 cọng; Bánh tráng vuông : 1 gói; Ngó sen ngâm chua : 3 cọng; Nước cốt chanh : 1 muỗng
101,Cuốn lá lốt thịt ếch,unparsed_main_ingredient,RAU NÊM: Mỡ hẹ
103,Sườn nấu cá mòi,unparsed_main_ingredient,Cá mòi 1 hộp; Cà chua 1 quả; Cà paste 2 muỗng
104,Cá nướng cà ri,unparsed_main_ingredient,"Bột Cari: 1 muỗng, Bột ngọt AJI-NO-MOTO"
105,Lẩu đuôi heo tiêu xanh,unparsed_main_ingredient,Đuôi heo : 1 cái; Cà rốt : ½ củ; Mướp : 1 trái
106,Bún bì căn,unparsed_main_ingredient,Mì căn 3 cây; Nấm hương khô 10 tai; sả băm; dưa leo
107,Chả đùm dê,unparsed_main_ingredient,"RAU NÊM: Rau om, ngò gai, ớt lát"
108,Hoành thánh chay,unparsed_main_ingredient,Lá hoành thánh : 20 muỗngiếng; Củ năng: 3 củ; Nấm mèo: 1 tai vừa; Nấm hương: 5 tai
109,Sườn non om chuối,unparsed_main_ingredient,Đậu hũ chiên 1 muỗngiếng; Cà chua 3 trái; Chuối xanh 3 trái; Mắm tôm 1 muỗng
110,Canh chua tôm cà ri,unparsed_main_ingredient,Trang trí: ngò rí
111,Đùi gà chiên cay,unparsed_main_ingredient,Sữa tươi không đường: 1 chén; Lá húng lủi to để chiên: 1 chén
112,Đậu hũ hấp nấm Nhật,unparsed_main_ingredient,"Đậu hũ non: 1 muỗngiếng; Tương hột: 1, 5 muỗng, Nấm linh chi nâu; Nấm Nhật Nấm đông cô bông: 5 cái; Sả: 2 cây"
114,Lươn nướng sả,no_metric_qty,khong co nguyen lieu nao ghi don vi g/kg/ml/l parse duoc
115,Lẩu cá dìa,no_metric_qty,khong co nguyen lieu nao ghi don vi g/kg/ml/l parse duoc
116,Gan kho tộ,unparsed_main_ingredient,"RAU NÊM: rau răm, ớt sợi"
117,Canh chua hải sản,unparsed_main_ingredient,Sả cây 2 cây; Riềng 1 củ nhỏ; Nghệ 1 củ nhỏ; Nước cốt dừa 5 muỗng
118,Cá hồi chiên mắm dừa,unparsed_main_ingredient,Nước dừa 1 chén cơm; Nước chanh 2 muỗng; Cong ngò băm nhỏ 1/2 muỗng; Hung quê
119,Salad cá hồi húng quế,unparsed_main_ingredient,Cà chua 1 trái; Xốt Tasbaco 1 muỗng; Dầu tỏi phi 1 muỗng; Nước cốt chanh 1 muỗng
120,Mực xào hoa trứng,unparsed_main_ingredient,Trứng muối 3 quả; Trứng gà 1 quả; bột mì; mau dâu điêu
121,Bao tử cá kho tiêu,unparsed_main_ingredient,"Trang trí: Ớt cắt sợi, ngò rí"
122,Lẩu cá bớp,unparsed_main_ingredient,Cà chua 1 trái; Hoa chuối; Sả cây 3 cây; Rau om
123,Canh cá chim dưa muối,unparsed_main_ingredient,"Cà chua: 1 trái; RAU NÊM: Húng quế, rau om, cần tàu, hành lá, ớt sừng, tỏi phi"
124,Cá lăng kho củ nén,unparsed_main_ingredient,Thơm: 1/4 trái; Nước dừa tươi: 1/2 chén; Củ nén đập dập: 2 muỗng
125,Bánh xếp,low_food_id_cover,"cover=0.00 thieu: Vỏ bánh, Nhân bánh"
127,Lẩu bò chua cay,unparsed_main_ingredient,Nước dùng bò 2 lít; Tàu hủ ky chiên 2 lá; Quế; Chao 8 viên
128,Cá hường chiên sả nghệ,no_metric_qty,khong co nguyen lieu nao ghi don vi g/kg/ml/l parse duoc
129,Sườn và đậu hũ kho thơm,unparsed_main_ingredient,Thơm 1/4 trái; Nước dừa tươi 2 chén; dầu màu điều
130,Miến đậu xanh xào thập cẩm,unparsed_main_ingredient,Đậu hũ chiên 1 muỗngiếng; Nghệ tươi 1 củ; bột nghệ
132,Cháo tôm nếp cẩm,unparsed_main_ingredient,Nước dùng: 1 lít
133,Cơm chiên cá mặn chay,unparsed_main_ingredient,Cơm : 3 chén
134,Salad rau củ trộn xốt mayonnaise,unparsed_main_ingredient,Cà rốt: 1 củ; Khoai tây: 2 củ; Thịt nguội: 1 lát
135,Ốc giác xào bông hành,unparsed_main_ingredient,Cà chua: 1 trái
137,Cá chim chiên xốt thơm,low_food_id_cover,"cover=0.30 thieu: Cá chim chọn con nhỏ, Nấm linh chi trắng"
138,Đậu hũ chiên sả ớt,no_metric_qty,khong co nguyen lieu nao ghi don vi g/kg/ml/l parse duoc
139,Nấm đùi gà kho măng tây,unparsed_main_ingredient,Đậu hũ chiên 1 muỗngiếng; Thơm 1/4 trái; Nước dừa tươi 1 chén; Boa-rô băm để riêng gốc và lá
140,Xáo lòng,unparsed_main_ingredient,Bánh tráng nướng 1 cái; Rau húng lũi
141,Ốc giác xào cải thìa,unparsed_main_ingredient,Ốc giác : 2 con
142,Gà tiềm hạt sen,unparsed_main_ingredient,Đùi gà 1 cái.; Bọng gà 1 cái.; Cà rốt 1/2 củ.; Củ năng 6 củ.
144,Cà ri gà,unparsed_main_ingredient,Đùi gà: 6 cái; Khoai lang: 2 củ; Cà ri bột: 1 muỗng; Cà ri dầu: 1 muỗng
145,Cá dứa một nắng chua ngọt,unparsed_main_ingredient,Lá dứa: 2 lá; Gừng lát: 2 lát
146,Chả tôm chiên lá trà xanh,low_food_id_cover,"cover=0.44 thieu: Lá trà xanh non, Giò sống"
147,Chả khoai hấp,unparsed_main_ingredient,Trứng gà: 1 quả
148,Thịt gà kho rau răm,unparsed_main_ingredient,- Dừa xiêm: 1 trái
149,Khoai chiên lắc mayo mè lá quế,unparsed_main_ingredient,Sữa chua không đường: 1 muỗng; Sữa đặc: 1 muỗng
150,Canh ghẹ củ sen chua cay,unparsed_main_ingredient,"Thơm: 1/4 trái; Củ thì là: 1/2 củ, Hành lá; thì là: 1 nắm; RAU NÊM: Ớt sừng, ớt hiểm xanh đỏ"
151,Trứng đúc nấm rơm,unparsed_main_ingredient,Bún tàu ngâm nở: 1 lọn nhỏ; Trứng vịt: 3 quả
154,Salad mì Udon cá hồi,unparsed_main_ingredient,Cà chua 1 quả; Bắp mỹ 1/4 trái; Rau húng lũi; Mât ong
157,Bún củ hủ dừa lá chanh,unparsed_main_ingredient,Đậu hũ chiên 1/2 muỗngiếng; Nấm đùi gà 1 cái nhỏ; Lá chanh Bắc; he căt nho
158,Lẩu cà ri nhúng,unparsed_main_ingredient,Nước dùng: 1 lít
159,Sườn chiên xốt mận,unparsed_main_ingredient,Gừng băm: 1 muỗng; Gừng nhỏ: 1 nhánh; Xốt mận: 3 muỗng
160,Salad bắp nướng,unparsed_main_ingredient,Bắp Mỹ 1 trái; Bơ chín 1/2 quả; bơ mặn; dầu oliu
161,Cá trứng chiên giòn,unparsed_main_ingredient,"Bột chiên giòn AjiQuick: 1 gói, Rau húng lủi"
164,Cá trứng ngâm giấm,unparsed_main_ingredient,Cà rốt : 1 củ
165,Bò kho chay,unparsed_main_ingredient,Đậu hũ trắng; chiên vàng: 1 muỗngiếng; Nước dừa tươi: 700 muỗngl; Cà paste: 2 muỗng
166,Bánh cuốn chay,unparsed_main_ingredient,"Nấm mèo: 3 muỗng; Nấm hương: 2 muỗng; Nước dừa tươi: 1 chén; Boa rô còn lá xanh: 1 cây, Ớt hiểm băm, kiệu chua, chanh, ngò rí, Muối, đường, tiêu, dầu ăn, Hạt nêm Aji-ngon Nấm, Nước tương Phú Sĩ, Bột ngọt AJI-NO-MOTO"
167,Chả giò chuối,unparsed_main_ingredient,Chuối già : 2 trái; Trứng gà : 2 quả; Bánh tráng pía : 10 lá
168,Gan bò áp chảo,unparsed_main_ingredient,"Rượu vang đỏ: 2 muỗng; Sữa tươi không đường: 2 muỗng, Xà lách, cà chua, Tiêu, dầu ăn, bơ, Hạt nêm Aji-ngon Heo"
169,Lẩu cá ngát kim chi,unparsed_main_ingredient,"Nước dừa tươi : 1 trái; Sả cây : 4 cây; Rau ăn kèm: Cọng súng, bắp chuối bào, kèo nèo, bông hẹ, bông so đũa Đậu hũ trắng, bún, Muối, đường, nước mắm, sa tế, dầu ăn, Bột ngọt AJI-NO-MOTO, Giấm gạo lên men Ajinomoto"
170,Bánh há cảo,unparsed_main_ingredient,Nấm hương; Đậu hũ 1/2 muỗngiêng; Bắp trái mỹ 1/2 trai; Rau răm
171,Mít kho tương,unparsed_main_ingredient,Đậu hũ chiên: 1 muỗngiếng; Dừa tươi: 1 trái; Hanh boaro: 2 cây
172,Dồi trường xào chua cay,unparsed_main_ingredient,Thơm 1/4 trái; Cần tây 2 nhánh; Dưa leo 1 trái; Gừng cắt quả trám 2 muỗng
173,Thịt kho khổ qua tây,unparsed_main_ingredient,Khổ qua tây : 2 trái
176,Bò tiềm trái dừa,unparsed_main_ingredient,Dừa xiêm 2 trái trái to; chặt nắp đường kính 6cm; giữ nắp; Táo tàu đỏ 4 quả
177,Tôm chiên dừa,unparsed_main_ingredient,"Dừa rám : 1/2 trái, Mứt phúc bồn tử, Nước bột năng, Muối, dầu ăn"
178,Cật xào khoai tây,unparsed_main_ingredient,RAU NÊM: Ngò rí
179,Salad đậu hũ chiên,unparsed_main_ingredient,RAU NÊM: Tỏi phi
181,Cá hồi xông khói cuộn cơm,unparsed_main_ingredient,Cơm gạo Nhật cơm dẻo: 2/3 chén; Rong biển chiên cắt sợi: 4 muỗng; Thì là: 4 cây
182,Nui xào bò,unparsed_main_ingredient,"Trứng gà: 4 quả; Cải ngọt: 1 cây, Ngò rí, gừng, tỏi, Bột năng, xốt cà chua hộp, Rượu ngũ vị, Tiêu, dầu ăn, tương ớt, Hạt nêm Aji-ngon Heo, Nước tương Phú Sĩ"
183,Nấm nấu thả,low_food_id_cover,"cover=0.22 thieu: Má đùi gà, Tôm đất, Giò sống, Xương sườn gà, Bắp non nhỏ"
184,Sake chiên giòn 2 vị,unparsed_main_ingredient,Bánh phồng tôm chiên: 4 cái
185,Cá lăng kho cà bi,unparsed_main_ingredient,Dừa tươi 1 trái
186,Nấm bào ngư xào sả ớt,unparsed_main_ingredient,"Nấm bào ngư:; Thơm: 1/4 trái; Nghệ tươi: 1 củ, Lá boaro"
187,Cuốn thịt ram mắm tép,unparsed_main_ingredient,Dưa kiệu: 5 củ
188,Chả mai cua lá lốt,unparsed_main_ingredient,Cua biển: 4 con vừa; Lá lốt: 1 chén; Trứng gà ta: 2 quả 1 quả; Bún tàu: 1 muỗng
189,Bún chùm ngây xào hải sản,unparsed_main_ingredient,gừng
190,Canh thịt bò cải xoong,low_food_id_cover,cover=0.67 thieu: Thịt bò
191,Mực xáo nước cốt dừa,unparsed_main_ingredient,Nước cốt dừa 1 chén; bột nghệ; dầu ớt sa tế
192,Gỏi dưa leo khô cá,unparsed_main_ingredient,Chao: 3-5 viên; Bánh phồng tôm: 1 gói
193,Canh gà quay tam sắc,unparsed_main_ingredient,"Gừng: 1 củ nhỏ; RAU NÊM: Rau om, ngò gai"
194,Cá cơm chiên giòn,unparsed_main_ingredient,Cải bẹ xanh to chỉ lấy lá: 2 cây; Nước tỏi: 1 muỗng; Nước chanh: 1 muỗng
195,Sườn non ram mè,unparsed_main_ingredient,Nước dừa tươi 1 chén; Nước cốt chanh; nước cốt hành tỏi
196,Gỏi bưởi chay,unparsed_main_ingredient,Bưởi 1 trái; Tàu hũ ky lá 2 muỗngiếng cỡ bàn tay; Cần tàu 1 cây; Boa-rô phi 1/2 chén
197,Trứng hấp hàu rong biển,unparsed_main_ingredient,Trứng gà ta: 6 quả; Thanh cua: 5 cây; RAU NÊM: Đầu hành lá bào
199,Pancake jambon trứng cút,unparsed_main_ingredient,Bột pancake phô mai: 1 gói; Trứng cút: 3 quả
200,Phở xào,unparsed_main_ingredient,Cà rốt ½ củ; Nước bột năng 1 muỗng; Nước dung 1 chén; Gừng xắt sợi
201,Bắp bò xào xốt tiêu xanh,unparsed_main_ingredient,Thơm chín 1/4 trái; Cọng cần tây bào vỏ 2 nhánh; dầu điều
202,Ếch xào lá lốt,low_food_id_cover,"cover=0.04 thieu: Thịt ếch, Nghệ cắt lát, Củ nén"
203,Canh gân bò cải chua,unparsed_main_ingredient,"Cà chua chín: 2 trái; Gừng giã: 1 muỗng; Rượu trắng: 1 muỗng, Dầu ăn, đường, nước mắm; Trang trí: Ngò gai, ớt cắt lát"
204,Jambon cuộn thanh cua,unparsed_main_ingredient,Jambon lát: 4 lá; Gốc hành lá băm: 1 muỗng; Thanh cua: 16 cây
205,Sườn chay rim mật ong,unparsed_main_ingredient,Mật ong: 2/3 muỗng; Nước dừa tươi: 1 chén
207,Canh cá rô nấu cải bẹ xanh,low_food_id_cover,cover=0.43 thieu: Cá rô mề
208,Viên xôi bọc thịt,unparsed_main_ingredient,"Cà rốt xắt sợi nhuyễn : ½ củ; Lòng trắng trứng : 1 muỗng, Hành tím băm, Muối, tiêu, đường, tương ớt, Bột ngọt AJI-NO-MOTO, Gia vị nêm sẵn Aji-Quick Bột tẩm khô chiên giòn, Nước tương Phú Sĩ"
209,Gỏi rau má tai heo,unparsed_main_ingredient,"Tai heo: 1 cái; RAU NÊM: rau răm, tỏi phi"
210,Sườn ram mặn,unparsed_main_ingredient,"Cà chua: 1 quả; Dưa leo: 1 quả, Hành lá, ớt sừng, Hành tím băm, tỏi băm, Dầu ăn, nước mắm, Đường, tiêu, muối, Hạt nêm Aji-ngon Heo"
211,Bạch tuộc lắc cóc non sa tế cay,unparsed_main_ingredient,Gừng: 1 củ nhỏ; Tắc: 5 trái
