id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,is_estimated,match_confidence,nin_name
73,Rau mồng tơi,,rau lá,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Rau mồng tơi, tươi"
74,Rau đay,,rau lá,31,2.8,4.52,0.18,1.5,,16.12,417,57.3,,,,,,,NIN,NIN Bảng TPTP VN (mã 4070),FALSE,subset,"Rau đay, tươi"
75,Rau lang,đọt lang,rau lá,28,2.6,3.99,0.21,1.4,,19.01,498.02,54,,,,,,,NIN,NIN Bảng TPTP VN (mã 4076),FALSE,subset,"Rau khoai lang, tươi"
76,Xà lách,,rau lá,15.0,1.36,2.87,0.15,1.3,0.78,28.0,194,29.0,,,,,,,USDA,USDA FDC fdcId:169249,FALSE,usda,"Lettuce, green leaf, raw"
77,Rau má,,rau lá,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Rau má rừng, tươi"
78,Rau mùi,ngò rí|ngò,rau lá,22,2.6,2.17,0.33,1.8,0.87,46,521,80,,,,,,,NIN,NIN Bảng TPTP VN (mã 4081),FALSE,subset,"Rau mùi, tươi"
79,Hành lá,hành hoa,rau lá,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Hành lá (hành hoa), tươi"
80,Tía tô,,rau lá,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Tía tô, tươi"
81,Kinh giới,,rau lá,,,,,,,,,,,,,,,,,,FALSE,MISS,
82,Thì là,thìa là,rau lá,47,2.6,6.94,0.96,5,,48,360.6,12.2,,,,,,,NIN,NIN Bảng TPTP VN (mã 4101),FALSE,alias-subset,"Thìa là, tươi"
83,Rau răm,,rau lá,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Rau răm, tươi"
84,Súp lơ xanh,bông cải xanh,rau lá,39,2.95,6.08,0.3,3.2,3.03,23,300,62,,,,,,,NIN,NIN Bảng TPTP VN (mã 4100),FALSE,subset,"Súp lơ xanh, tươi"
85,Cà chua,,rau củ,18.0,0.88,3.89,0.2,1.2,2.63,5.0,237,24.0,,,22,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1630 — whole tomatoes GI 22; glucose=100",,USDA,USDA FDC fdcId:170457,FALSE,usda,"Tomatoes, red, ripe, raw, year round average"
86,Cà rốt,,rau củ,47,1.6,9.79,0.21,1.28,4.83,55.32,282.45,41.49,,,,,,,NIN,NIN Bảng TPTP VN (mã 4007002),FALSE,subset,"Cà rốt (củ đỏ, vàng), luộc"
87,Củ cải trắng,,rau củ,27,1.5,5.11,0.09,1.5,2.5,10,242,41,,,,,,,NIN,NIN Bảng TPTP VN (mã 4021),FALSE,subset,"Củ cải trắng, tươi"
88,Su hào,,rau củ,27.0,1.7,6.2,0.1,3.6,2.6,20.0,350,46.0,,,,,,,USDA,USDA FDC fdcId:168424,FALSE,usda,"Kohlrabi, raw"
89,Su su,,rau củ,19.0,0.82,4.51,0.13,1.7,1.66,2.0,125,18.0,,,,,,,USDA,USDA FDC fdcId:170402,FALSE,usda,"Chayote, fruit, raw"
90,Bí đao,bí xanh,rau củ,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Bí đao (bí xanh), luộc"
91,Bí đỏ,bí ngô,rau củ,35,0.34,7.75,0.34,0.79,,9.44,391.57,17.98,,,,,,,NIN,NIN Bảng TPTP VN (mã 4003002),FALSE,alias-subset,"Bí ngô, luộc"
92,Bầu,,rau củ,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Bầu, luộc"
93,Mướp,,rau củ,18,0.9,3.36,0.14,0.5,,3,139,45,,,,,,,NIN,NIN Bảng TPTP VN (mã 4054),FALSE,subset,"Mướp, tươi"
94,Mướp đắng,khổ qua,rau củ,17.0,1.0,3.7,0.17,2.8,,5.0,296,31.0,,,,,,,USDA,USDA FDC fdcId:168393,FALSE,usda,"Balsam-pear (bitter gourd), pods, raw"
95,Dưa chuột,dưa leo,rau củ,19,0.3,4.16,0.14,0.7,1.06,154.38,2.94,16,,,,,,,NIN,NIN Bảng TPTP VN (mã 11002),FALSE,subset,Dưa chuột hộp
96,Đậu cove,đậu que,rau củ,,,,,,,,,,,,,,,,,,FALSE,MISS,
97,Đậu bắp,,rau củ,33.0,1.93,7.45,0.19,3.2,1.48,7.0,299,61.0,,,,,,,USDA,USDA FDC fdcId:169260,FALSE,usda,"Okra, raw"
98,Cà tím,,rau củ,25.0,0.98,5.88,0.18,3.0,3.53,2.0,229,24.0,,,,,,,USDA,USDA FDC fdcId:169228,FALSE,usda,"Eggplant, raw"
99,Măng tươi,,rau củ,24,2.2,3.36,0.14,2.3,1.88,2,202,6.2,47.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Bamboo shoots, raw [Japan]",,,,,NIN,NIN Bảng TPTP VN (mã 4052),FALSE,subset,"Măng tây, tươi"
100,Nấm rơm,,rau củ,32.0,3.83,4.64,0.68,2.5,,384,78.0,61.0,46.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Mushrooms (not further specified), raw [Canada]",,,,,USDA,USDA FDC fdcId:168582,FALSE,usda,"Mushrooms, straw, canned, drained solids"
101,Nấm hương,nấm đông cô,rau củ,,,,,,,,,,23.1,"USDA/ODS-NIH Purine DB R2.0 (2025) — Mushrooms, shiitake, raw [Japan]",,,,,,,FALSE,subset-nin-thiếu-khoáng,"Nấm hương, khô"
102,Hành tây,,rau củ,45,1.8,9.29,0.11,1.1,4.28,7.5,220.7,58,,,,,,,NIN,NIN Bảng TPTP VN (mã 4039),FALSE,subset,"Hành tây, tươi"
103,Chuối tiêu,chuối già,trái cây,100,1.5,23,0.2,0.8,,19.3,329.4,28,,,47,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1088) — Banana, raw, Australia 2008, GI 47±5; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5007),FALSE,subset,"Chuối tiêu, tươi"
104,Cam sành,,trái cây,47.0,0.94,11.8,0.12,2.4,9.35,0.0,181,14.0,,,45,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 — Oranges, navel, Australia 2020, GI 45±5; glucose=100",,USDA,USDA FDC fdcId:169097,FALSE,usda,"Oranges, raw, all commercial varieties"
105,Quýt,,trái cây,53.0,0.81,13.3,0.31,1.8,10.6,2.0,166,20.0,,,52,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1140) — Mandarin orange (Citrus reticulata), Italy 2004, GI 52±8; glucose=100",,USDA,USDA FDC fdcId:169105,FALSE,usda,"Tangerines, (mandarin oranges), raw"
106,Bưởi,,trái cây,38.0,0.76,9.62,0.04,1.0,,1.0,216,17.0,,,,,,,USDA,USDA FDC fdcId:167754,FALSE,usda,"Pummelo, raw"
107,Táo,bom,trái cây,46,3.8,4.7,1.2,0.2,,33,85,150,,,44,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 — Apples, raw, Australia 2020, GI 44±5; glucose=100",,NIN,NIN Bảng TPTP VN (mã 3033),FALSE,subset,Tào phớ
108,Lê,,trái cây,48,0.7,10.8,0.2,0.6,9.8,5,88.4,16,,,33,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1161) — Pear, Williams, raw, ripe/soft, Australia 2015, GI 33±4; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5023),FALSE,subset,"Lê, tươi"
109,Xoài chín,,trái cây,69,0.6,15.9,0.3,0,14.8,2.1,114.1,13,,,48,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1142) — Mango, raw (Chin-Hwang), Taiwan 2010, GI 48; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5055),FALSE,subset,"Xoài chín, tươi"
110,Đu đủ chín,,trái cây,38,1,8.19,0.11,0.6,5.9,4.3,220.5,32,,,38,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1153) — Papaya/paw paw, raw, Singapore 2017, GI 38±2; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5017),FALSE,subset,"Đu đủ chín, tươi"
111,Dứa,thơm|khóm,trái cây,57,0.3,13.84,0.06,0.2,12.65,1,105,12,,,82,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1164) — Pineapple, raw (Ananas comosa), Malaysia 2008, GI 82±4; glucose=100",,NIN,NIN Bảng TPTP VN (mã 11003),FALSE,subset,Dứa hộp
112,Dưa hấu,,trái cây,18,1.2,2.8,0.2,0.5,,4.5,187.2,13,,,51,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1147) — Watermelon, raw, red-fleshed, seedless, Malaysia 2017, GI 51±2; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5011),FALSE,subset,"Dưa hấu, tươi"
113,Nhãn,,trái cây,60.0,1.31,15.1,0.1,1.1,,0.0,266,21.0,,,,,,,USDA,USDA FDC fdcId:169089,FALSE,usda,"Longans, raw"
114,Vải,,trái cây,49,0.7,10.75,0.35,1.1,,1,171,34,,,57,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1138) — Lychee, fresh, Australia 2009, GI 57±3; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5052),FALSE,subset,"Vải, tươi   "
115,Ổi,,trái cây,61,0.6,12.94,0.76,6,8.92,4,291,16,,,29,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1131) — Guava, raw, Singapore 2017, GI 29±4; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5040),FALSE,subset,"Ổi, quả chín, tươi"
116,Thanh long,,trái cây,,,,,,,,,,,,,,,,,,FALSE,override-nin-thiếu-khoáng,"Quả thanh long, tươi"
117,Na,mãng cầu ta,trái cây,69,1.6,15.1,0.2,0.8,,22.3,259.5,45,,,58,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Custard apple, fresh; glucose=100, n=12",,NIN,NIN Bảng TPTP VN (mã 5034),FALSE,subset,"Na, tươi"
118,Sầu riêng,,trái cây,138,2.5,28.3,1.6,1.4,,1,601,63,,,,,,,NIN,NIN Bảng TPTP VN (mã 5048),FALSE,subset,"Sầu riêng, tươi"
119,Bơ,trái bơ,trái cây,756,0.5,0.5,83.5,0,,11,24,12,,,,,,,NIN,NIN Bảng TPTP VN (mã 6001),FALSE,exact,Bơ
120,Nho,,trái cây,71,0.4,16.99,0.11,0.6,15.48,2,191,22,,,54,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1133-1135) — Grapes, trung bình 3 mẫu (Crimson 50/green 54/black 59); glucose=100",,NIN,NIN Bảng TPTP VN (mã 5037),FALSE,subset,"Nho ngọt, tươi"
121,Chanh,,trái cây,29,0.9,5.96,0.14,1.3,,3,145,22,,,,,,,NIN,NIN Bảng TPTP VN (mã 5003),FALSE,subset,"Chanh, tươi"
122,Dừa (nước),nước dừa,trái cây,41,0.3,9.74,0.06,0.4,,2,130,12,,,,,,,NIN,NIN Bảng TPTP VN (mã 11013),FALSE,alias-subset,Nước dứa hộp
123,Sữa tươi không đường,,sữa,60.0,3.27,4.63,3.2,0,,38.0,150,101,,,,,,sữa,USDA,USDA FDC fdcId:746782,FALSE,usda,"Milk, whole, 3.25% milkfat, with added vitamin D"
124,Sữa tươi có đường,,sữa,,,,,,,,,,,,,,,sữa,,,FALSE,MISS,
